==12267== NVPROF is profiling process 12267, command: ./convolutionFFT2D
==12267== Profiling application: ./convolutionFFT2D
==12267== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
1.443043,0.001440,,,,,,,,,,0.000160,0.108654,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.443182,40.152845,,,,,,,,,,15.258789,0.371111,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.483340,0.084834,,,,,,,,,,16.000000,184.183228,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.483428,0.083905,,,,,,,,,,16.000000,186.222514,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.483534,0.001536,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [2437]"
1.483538,0.085409,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [2451]"
1.483625,0.094241,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2455]"
1.483721,0.097890,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2460]"
1.483821,0.095362,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2465]"
1.483918,0.090433,4096,1,1,256,1,1,27,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2470]"
1.484042,0.094274,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2475]"
1.484148,0.096386,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2480]"
1.484246,0.095041,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2485]"
1.484343,0.090882,4096,1,1,256,1,1,27,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2490]"
1.484436,0.127586,8200,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","modulateAndNormalize_kernel(float2*, float2*, int, float) [2497]"
1.484565,0.091714,4096,1,1,256,1,1,37,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex23preprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2501]"
