==12352== NVPROF is profiling process 12352, command: ./interval
==12352== Profiling application: ./interval
==12352== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,MB/s,,,,
0.579315,0.336198,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1100]"
0.579654,0.335783,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1107]"
0.579991,0.327110,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1114]"
0.580320,0.336070,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1121]"
0.580658,0.333222,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1128]"
0.580993,0.338566,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1135]"
0.581334,0.336262,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1142]"
0.581672,0.332934,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1149]"
0.582007,0.334406,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1156]"
0.582344,0.335558,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1163]"
0.582681,0.337254,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1170]"
0.583021,0.338566,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1177]"
0.583361,0.334310,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1184]"
0.583697,0.334439,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1191]"
0.584034,0.334918,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1198]"
0.584371,0.334598,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1205]"
0.584707,0.339142,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1212]"
0.585048,0.339206,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1219]"
0.585390,0.332967,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1226]"
0.585725,0.335654,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1233]"
0.586062,0.332902,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1240]"
0.586397,0.335078,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1247]"
0.586735,0.335078,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1254]"
0.587072,0.339174,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1261]"
0.587413,0.333894,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1268]"
0.587749,0.334886,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1275]"
0.588086,0.333254,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1282]"
0.588421,0.337414,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1289]"
0.588760,0.338310,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1296]"
0.589101,0.332647,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1303]"
0.589435,0.334342,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1310]"
0.589771,0.334182,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1317]"
0.590108,0.334086,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1324]"
0.590444,0.337670,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1331]"
0.590784,0.336486,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1338]"
0.591122,0.337479,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1345]"
0.591462,0.336870,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1352]"
0.591800,0.329414,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1359]"
0.592132,0.337766,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1366]"
0.592472,0.334918,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1373]"
0.592809,0.333414,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1380]"
0.593144,0.333895,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1387]"
0.593479,0.337190,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1394]"
0.593818,0.335654,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1401]"
0.594156,0.333542,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1408]"
0.594491,0.335942,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1415]"
0.594829,0.331846,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1422]"
0.595162,0.335559,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1429]"
0.595500,0.333126,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1436]"
0.595835,0.336614,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1443]"
0.596173,0.333510,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1450]"
0.596508,0.333830,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1457]"
0.596844,0.338438,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1464]"
0.597184,0.335399,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1471]"
0.597521,0.334310,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1478]"
0.597857,0.334854,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1485]"
0.598194,0.333734,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1492]"
0.598530,0.332518,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1499]"
0.598864,0.331302,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1506]"
0.599197,0.336134,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1513]"
0.599535,0.335494,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1520]"
0.599872,0.334662,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1527]"
0.600209,0.332806,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1534]"
0.600543,0.338694,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1541]"
0.600884,0.333254,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1548]"
0.601219,0.329766,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1555]"
0.601551,0.335655,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1562]"
0.601889,0.339302,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1569]"
0.602230,0.336582,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1576]"
0.602569,0.335590,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1583]"
0.602906,0.340358,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1590]"
0.603249,0.336678,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1597]"
0.603587,0.338022,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1604]"
0.603927,0.340998,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1611]"
0.604270,0.338982,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1618]"
0.604611,0.337895,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1625]"
0.604951,0.335302,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1632]"
0.605288,0.333766,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1639]"
0.605624,0.331782,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1646]"
0.605957,0.334566,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1653]"
0.606293,0.339174,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1660]"
0.606635,0.335622,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1667]"
0.606972,0.335558,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1674]"
0.607309,0.335526,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1681]"
0.607647,0.336454,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1688]"
0.607985,0.333830,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1695]"
0.608321,0.333575,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1702]"
0.608656,0.334918,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1709]"
0.608993,0.334406,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1716]"
0.609329,0.335270,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1723]"
0.609666,0.332678,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1730]"
0.610001,0.332806,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1737]"
0.610335,0.337510,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1744]"
0.610675,0.338055,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1751]"
0.611014,0.338854,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1758]"
0.611355,0.334182,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1765]"
0.611691,0.335526,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1772]"
