==12400== NVPROF is profiling process 12400, command: ./matrixMul
==12400== Profiling application: ./matrixMul
==12400== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,KB,MB/s,,,,
584.620743,1.028854,,,,,,,,,,400.000000,379.670001,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
585.737919,2.053933,,,,,,,,,,800.000000,380.367811,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.796940,0.077602,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1073]"
587.898094,0.076674,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1084]"
587.976368,0.076321,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1091]"
588.054322,0.076033,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1098]"
588.131987,0.076482,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1105]"
588.210069,0.076098,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1112]"
588.287799,0.076129,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1119]"
588.365592,0.076514,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1126]"
588.443770,0.076674,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1133]"
588.522108,0.076417,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1140]"
588.600157,0.077250,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1147]"
588.679071,0.076642,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1154]"
588.757345,0.076354,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1161]"
588.835331,0.076801,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1168]"
