==12459== NVPROF is profiling process 12459, command: ./mergeSort
==12459== Profiling application: ./mergeSort
==12459== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
680.285519,42.112478,,,,,,,,,,16.000000,379.934896,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
722.522959,42.136895,,,,,,,,,,16.000000,379.714736,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
764.700239,0.704973,4096,1,1,512,1,1,19,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeSortSharedKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int) [1105]"
765.407132,0.042817,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1114]"
765.462462,0.002976,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1122]"
765.467294,0.002560,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1130]"
765.471966,0.216292,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1141]"
765.690402,0.041825,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1152]"
765.734307,0.003072,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1160]"
765.739299,0.002912,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1168]"
765.744323,0.217380,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1179]"
765.963847,0.066914,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1190]"
766.032873,0.003648,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1198]"
766.038409,0.003360,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1206]"
766.043913,0.216964,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1217]"
766.262957,0.051745,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1228]"
766.316750,0.003648,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1236]"
766.321967,0.003776,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1244]"
766.327823,0.218884,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1255]"
766.548819,0.050145,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1266]"
766.601076,0.004064,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1274]"
766.607028,0.004160,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1282]"
766.613076,0.220293,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1293]"
766.835513,0.050369,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1304]"
766.887930,0.004544,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1312]"
766.894330,0.004576,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1320]"
766.900954,0.220708,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1331]"
767.123774,0.051233,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1342]"
767.176799,0.004768,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1350]"
767.183168,0.005120,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1358]"
767.190144,0.220932,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1369]"
767.412932,0.050753,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1380]"
767.465541,0.005088,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1388]"
767.472229,0.005504,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1396]"
767.479557,0.222469,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1407]"
767.703818,0.052321,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1418]"
767.757931,0.005504,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1426]"
767.765067,0.005824,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1434]"
767.772747,0.221028,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1445]"
767.995568,0.050657,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1456]"
768.048337,0.005952,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1464]"
768.055985,0.006240,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1472]"
768.064049,0.221412,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1483]"
768.287285,0.051297,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1494]"
768.340438,0.006112,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1502]"
768.348182,0.006753,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1510]"
768.356503,0.221508,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1521]"
768.579835,0.051169,64,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void generateSampleRanksKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1532]"
768.632828,0.006368,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1540]"
768.640828,0.007232,64,1,1,256,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeRanksAndIndicesKernel(unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1548]"
768.650076,0.221029,32768,1,1,128,1,1,18,2.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void mergeElementaryIntervalsKernel<unsigned int=1>(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1559]"
768.892161,40.011157,,,,,,,,,,16.000000,399.888460,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
809.275197,40.009941,,,,,,,,,,16.000000,399.900614,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
