==12507== NVPROF is profiling process 12507, command: ./quasirandomGenerator
==12507== Profiling application: ./quasirandomGenerator
==12507== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
0.646689,0.001344,,,,,,,,,,0.000355,0.257777,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.646711,0.065377,,,,,,,,,,12.000000,179.248818,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.646778,0.047361,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1094]"
0.646841,0.046433,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1101]"
0.646889,0.047105,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1107]"
0.646937,0.046561,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1113]"
0.646986,0.046337,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1119]"
0.647034,0.047041,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1125]"
0.647082,0.045953,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1131]"
0.647130,0.047105,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1137]"
0.647179,0.046369,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1143]"
0.647227,0.047169,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1149]"
0.647276,0.045792,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1155]"
0.647323,0.046305,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1161]"
0.647371,0.047073,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1167]"
0.647420,0.045697,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1173]"
0.647467,0.047009,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1179]"
0.647516,0.046689,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1185]"
