==12611== NVPROF is profiling process 12611, command: ./reduction
==12611== Profiling application: ./reduction
==12611== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,
0.866586,168.281164,,,,,,,,,,64.000000,0.371402,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.034879,0.001216,,,,,,,,,,0.000244,0.196068,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.034913,0.187331,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1098]"
1.035117,0.189123,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1104]"
1.035309,0.329575,,,,,,,,,,64.000000,189.638170,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.036564,0.001344,,,,,,,,,,0.000244,0.177395,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.036572,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1114]"
1.036588,0.191492,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1121]"
1.036782,0.329638,,,,,,,,,,64.000000,189.601927,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.038001,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.038011,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1131]"
1.038027,0.191972,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1138]"
1.038222,0.329542,,,,,,,,,,64.000000,189.657161,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.039987,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.039995,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1148]"
1.040011,0.191044,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1155]"
1.040205,0.329574,,,,,,,,,,64.000000,189.638746,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.041425,0.001216,,,,,,,,,,0.000244,0.196068,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.041432,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1165]"
1.041448,0.192131,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1172]"
1.041643,0.329607,,,,,,,,,,64.000000,189.619759,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.043520,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.043530,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1182]"
1.043547,0.190147,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1189]"
1.043740,0.329607,,,,,,,,,,64.000000,189.619759,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.045623,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.045633,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1199]"
1.045650,0.192804,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1206]"
1.045845,0.329606,,,,,,,,,,64.000000,189.620335,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.047063,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.047070,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1216]"
1.047086,0.191940,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1223]"
1.047281,0.329670,,,,,,,,,,64.000000,189.583523,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.048500,0.001088,,,,,,,,,,0.000244,0.219135,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.048507,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1233]"
1.048523,0.191619,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1240]"
1.048717,0.329479,,,,,,,,,,64.000000,189.693425,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.050643,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.050653,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1250]"
1.050670,0.191747,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1257]"
1.050864,0.329607,,,,,,,,,,64.000000,189.619759,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.052085,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.052092,0.001504,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1267]"
1.052108,0.192996,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1274]"
1.052304,0.329510,,,,,,,,,,64.000000,189.675579,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.053507,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.053514,0.001504,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1284]"
1.053530,0.192996,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1291]"
1.053725,0.329606,,,,,,,,,,64.000000,189.620335,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.054937,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.054944,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1301]"
1.054960,0.190115,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1308]"
1.055153,0.329511,,,,,,,,,,64.000000,189.675003,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.056381,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.056388,0.001472,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1318]"
1.056404,0.196548,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1325]"
1.056603,0.329606,,,,,,,,,,64.000000,189.620335,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.057816,0.001152,,,,,,,,,,0.000244,0.206961,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.057823,0.001440,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1335]"
1.057838,0.195171,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1342]"
1.058036,0.329447,,,,,,,,,,64.000000,189.711850,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.059808,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.059816,0.001440,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1352]"
1.059832,0.191683,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1359]"
1.060027,0.329671,,,,,,,,,,64.000000,189.582948,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.061249,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
1.061255,0.001440,1,1,1,32,1,1,10,0,0.250000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=32, bool=1>(int*, int*, unsigned int) [1369]"
1.061271,0.192644,64,1,1,256,1,1,10,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce6<int, unsigned int=256, bool=1>(int*, int*, unsigned int) [1376]"
1.061466,0.329606,,,,,,,,,,64.000000,189.620335,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.063342,0.001120,,,,,,,,,,0.000244,0.212874,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
