==12757== NVPROF is profiling process 12757, command: ./sortingNetworks
==12757== Profiling application: ./sortingNetworks
==12757== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,MB/s,,,,
0.584766,10.526718,,,,,,,,,,4.000000,379.985480,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.595390,10.515101,,,,,,,,,,4.000000,380.405285,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.605937,0.114466,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1100]"
0.606070,10.017749,,,,,,,,,,4.000000,399.291297,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.616394,10.020021,,,,,,,,,,4.000000,399.200760,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
3.033697,0.144610,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1112]"
3.033869,10.017684,,,,,,,,,,4.000000,399.293888,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
3.043998,10.022420,,,,,,,,,,4.000000,399.105206,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.276024,0.177635,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1124]"
4.276229,10.017748,,,,,,,,,,4.000000,399.291337,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.286360,10.022932,,,,,,,,,,4.000000,399.084818,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.909806,0.211683,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1136]"
4.910043,10.018356,,,,,,,,,,4.000000,399.267105,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.920173,10.022644,,,,,,,,,,4.000000,399.096286,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.241602,0.248933,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1148]"
5.241875,10.020980,,,,,,,,,,4.000000,399.162557,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.252011,10.019285,,,,,,,,,,4.000000,399.230084,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.423497,0.221988,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1158]"
5.423721,0.043745,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1168]"
5.423766,0.048897,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1177]"
5.423838,10.019861,,,,,,,,,,4.000000,399.207134,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.433975,10.017748,,,,,,,,,,4.000000,399.291337,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.531053,0.221828,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1187]"
5.531277,0.043488,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1197]"
5.531322,0.049408,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1206]"
5.531373,0.043265,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1216]"
5.531418,0.043617,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1226]"
5.531463,0.048769,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1235]"
5.531533,10.018581,,,,,,,,,,4.000000,399.258138,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.541661,10.019252,,,,,,,,,,4.000000,399.231400,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.601300,0.221988,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1245]"
5.601524,0.044257,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1255]"
5.601570,0.049632,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1264]"
