==12841== NVPROF is profiling process 12841, command: ./transpose
==12841== Profiling application: ./transpose
==12841== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
561.403981,10.531529,,,,,,,,,,4.000000,379.811895,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
579.021779,0.019648,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1099]"
579.045651,0.022145,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1106]"
579.069460,0.022048,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1113]"
579.093140,0.022049,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1120]"
579.116821,0.021792,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1127]"
579.140245,0.022305,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1134]"
579.164182,0.022304,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1141]"
579.188054,0.021953,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1148]"
579.211607,0.022176,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1155]"
579.235447,0.022369,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1162]"
579.259416,0.022144,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1169]"
579.283161,0.022048,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1176]"
579.306969,0.021825,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1183]"
579.363386,0.022113,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1190]"
579.387483,0.022016,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1197]"
579.411483,0.021953,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1204]"
579.435388,0.022336,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1211]"
579.459740,0.021921,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1218]"
579.483645,0.022208,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1225]"
579.507837,0.022145,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1232]"
579.531902,0.022208,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1239]"
579.555807,0.022144,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1246]"
579.579647,0.022081,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1253]"
579.603744,0.021952,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1260]"
579.627840,0.022305,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1267]"
579.652097,0.022112,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1274]"
579.676161,0.022113,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1281]"
579.700290,0.022368,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1288]"
579.724546,0.022049,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1295]"
579.748579,0.022112,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1302]"
579.772611,0.022049,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1309]"
579.796676,0.021952,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1316]"
579.820676,0.022177,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1323]"
579.844517,0.022048,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1330]"
579.868197,0.022145,64,64,1,16,16,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","copy(float*, float*, int, int) [1337]"
