==27640== NVPROF is profiling process 27640, command: ./HSOpticalFlow
==27640== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27640== Profiling application: ./HSOpticalFlow
==27640== Profiling result:
==27640== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"inst_per_warp","Instructions per warp",55.250000,58.000000,57.312500
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"warp_execution_efficiency","Warp Execution Efficiency",87.556561%,100.000000%,96.889140%
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.314480%,94.827586%,91.949310%
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"inst_replay_overhead","Instruction Replay Overhead",0.012439,0.071267,0.049700
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","UpscaleKernel(int, int, int, float, float*)",8,"gst_transactions_per_request","Global Store Transactions Per Request",3.333333,4.000000,3.833333
