==17982== NVPROF is profiling process 17982, command: ./MersenneTwisterGP11213
==17982== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17982== Profiling application: ./MersenneTwisterGP11213
==17982== Profiling result:
==17982== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_per_warp","Instructions per warp",130.000000,130.000000,130.000000
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.162203%,96.163518%,96.162852%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_replay_overhead","Instruction Replay Overhead",0.015385,0.015385,0.015385
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gld_transactions_per_request","Global Load Transactions Per Request",5.859863,5.880127,5.866200
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gst_transactions_per_request","Global Store Transactions Per Request",3.041667,3.103516,3.058535
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gld_transactions","Global Load Transactions",48004,48170,48055
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gst_transactions","Global Store Transactions",4672,4767,4697
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_read_transactions","L2 Read Transactions",17224,17749,17506
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_write_transactions","L2 Write Transactions",4685,4780,4710
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"global_hit_rate","Global Hit Rate",64.141697%,64.334499%,64.278273%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gld_requested_throughput","Requested Global Load Throughput",66.170632GB/s,67.559365GB/s,66.676177GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gst_requested_throughput","Requested Global Store Throughput",25.254745GB/s,25.781773GB/s,25.455840GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gld_throughput","Global Load Throughput",105.531151GB/s,107.599953GB/s,106.481835GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gst_throughput","Global Store Throughput",28.750041GB/s,29.523622GB/s,29.140152GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"tex_cache_hit_rate","Unified Cache Hit Rate",61.801215%,61.957280%,61.874963%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",98.359411%,98.372807%,98.363065%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",56.164384%,57.037969%,56.402634%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"tex_cache_throughput","Unified Cache Throughput",226.849641GB/s,231.583645GB/s,228.664838GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",105.531151GB/s,107.599953GB/s,106.481835GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",28.750041GB/s,29.523622GB/s,29.140152GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_read_throughput","L2 Throughput (Reads)",106.563255GB/s,110.615365GB/s,108.593144GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"l2_write_throughput","L2 Throughput (Writes)",28.830039GB/s,29.604136GB/s,29.220246GB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sysmem_write_throughput","System Memory Write Throughput",31.506894MB/s,32.164394MB/s,31.471252MB/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gld_efficiency","Global Memory Load Efficiency",62.185129%,62.787541%,62.618374%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"gst_efficiency","Global Memory Store Efficiency",86.091882%,87.842466%,87.365034%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"tex_cache_transactions","Unified Cache Transactions",36864,36864,36864
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_executed","Instructions Executed",66560,66560,66560
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"inst_issued","Instructions Issued",67584,67584,67584
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.286778%,17.118068%,10.668785%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.153783%,7.415861%,6.727654%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"stall_memory_dependency","Issue Stall Reasons (Data Request)",59.331017%,72.364705%,63.795331%
"GeForce GTX 1080 Ti (0)","void gen_mtgp<curandStateMtgp32, unsigned int, int, __operator_&__(unsigned int curand_noargs<curandStateMtgp32>(curandStateMtgp32*, int))>(curandStateMtgp32*, unsigned int*, unsigned long, unsigned long, int)",11,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
