==9788== NVPROF is profiling process 9788, command: ./cannyEdgeDetectorNPP
==9788== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9788== Profiling application: ./cannyEdgeDetectorNPP
==9788== Profiling result:
==9788== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"inst_per_warp","Instructions per warp",444.034668,444.034668,444.034668
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"branch_efficiency","Branch Efficiency",96.204119%,96.204119%,96.204119%
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"warp_execution_efficiency","Warp Execution Efficiency",89.891144%,89.891144%,89.891144%
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",81.861641%,81.861641%,81.861641%
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"inst_replay_overhead","Instruction Replay Overhead",0.004308,0.004308,0.004308
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.937500,4.937500,4.937500
