==16226== NVPROF is profiling process 16226, command: ./cuSolverDn_LinearSolver
==16226== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16226== Profiling application: ./cuSolverDn_LinearSolver
==16226== Profiling result:
==16226== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"inst_per_warp","Instructions per warp",2055.068966,2055.068966,2055.068966
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"warp_execution_efficiency","Warp Execution Efficiency",76.426919%,76.426919%,76.426919%
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",65.988049%,65.988049%,65.988049%
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.002265,0.002265,0.002265
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.054269,1.054269,1.054269
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.475571,1.475571,1.475571
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",16.000000,16.000000,16.000000
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.436196,5.436196,5.436196
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.751724,1.751724,1.751724
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_store_transactions","Shared Store Transactions",6463,6463,6463
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_load_transactions","Shared Load Transactions",16843,16843,16843
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_load_transactions","Local Load Transactions",3584,3584,3584
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_store_transactions","Local Store Transactions",1792,1792,1792
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_transactions","Global Load Transactions",118770,118770,118770
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_transactions","Global Store Transactions",254,254,254
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"l2_read_transactions","L2 Read Transactions",123355,123355,123355
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"l2_write_transactions","L2 Write Transactions",2088,2088,2088
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_hit_rate","Local Hit Rate",50.000000%,50.000000%,50.000000%
