==32201== NVPROF is profiling process 32201, command: ./histEqualizationNPP
==32201== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==32201== Profiling application: ./histEqualizationNPP
==32201== Profiling result:
==32201== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"inst_per_warp","Instructions per warp",304.428571,304.428571,304.428571
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",75.832942%,75.832942%,75.832942%
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.006005,0.006005,0.006005
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",21.066964,21.066964,21.066964
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",11.033482,11.033482,11.033482
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_store_transactions","Shared Store Transactions",39544,39544,39544
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"shared_load_transactions","Shared Load Transactions",37752,37752,37752
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceHistogramSweepKernel<cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PtxHistogramSweepPolicy, int=256, int=1, int=1, unsigned char*, int, cub::DeviceHistogramDispatch<int=1, int=1, unsigned char*, int, int, int>::PassThruTransform, int>(int, cub::ArrayWrapper<int*, int>, int, int, int=256, int, int)",1,"gld_transactions","Global Load Transactions",32768,32768,32768
