==17957== NVPROF is profiling process 17957, command: ./simpleCUFFT_callback
==17957== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==17957== Profiling application: ./simpleCUFFT_callback
==17957== Profiling result:
==17957== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"inst_per_warp","Instructions per warp",95.500000,95.500000,95.500000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"warp_execution_efficiency","Warp Execution Efficiency",35.994764%,35.994764%,35.994764%
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",35.765707%,35.765707%,35.765707%
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"inst_replay_overhead","Instruction Replay Overhead",0.045812,0.045812,0.045812
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 1080 Ti (0)","void spRadix0007A::kernel1MemCallback<unsigned int, float, fftDirection_t=1, unsigned int=256, unsigned int=3, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<callback_radix1_t, unsigned int, float>)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
