==19561== NVPROF is profiling process 19561, command: ./simpleCUFFT
==19561== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19561== Profiling application: ./simpleCUFFT
==19561== Profiling result:
==19561== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"inst_per_warp","Instructions per warp",8.179688,8.179688,8.179688
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"warp_execution_efficiency","Warp Execution Efficiency",99.725406%,99.725406%,99.725406%
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.558262%,99.558262%,99.558262%
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"inst_replay_overhead","Instruction Replay Overhead",0.244508,0.244508,0.244508
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ComplexPointwiseMulAndScale(float2*, float2 const *, int, float)",1,"gld_transactions_per_request","Global Load Transactions Per Request",7.000000,7.000000,7.000000
