KernelName,sm_efficiency,achieved_occupancy,ipc,issued_ipc,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,issue_slot_utilization,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_load_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,dram_read_throughput,dram_write_throughput,tex_cache_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,cf_fu_utilization,tex_fu_utilization,ldst_fu_utilization,double_precision_fu_utilization,special_fu_utilization,single_precision_fu_utilization,dram_utilization,tex_utilization,shared_efficiency,shared_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_memory_throttle,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,l2_utilization,eligible_warps_per_cycle,flop_sp_efficiency,flop_dp_efficiency
"[[ boxFilterNPP ]] void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",0.768912229806,0.371958580933,0.131842743474,0.468415521453,0.31204091086,0.559128904724,0.567942603646,0.003609003609,0.459894848865,0.0,0.0,0.115234375,0.25,0.0,0.271558863091,0.0,0.134618536389,0.0556704469717,0.198745272219,0.044445547306,0.0697470661225,0.0386966273916,0.072728501725,0.0,0.0,0.35277778,1.0,0.0,0.2,0.2,0.0,0.25,0.428571428571,0.111111111111,0.1,0.0,0.0,0.464411347826,0.119835590811,0.306809197702,0.0010519064846,0.0,0.143445426978,0.0212297340131,0.00181408050591,0.0,0.233906362057,0.764924896663,0.83007812,0.322555050961,0.0329290610839,0.331666746336,0.0329535235603,0.0370370375165,0.333333333333,0.0323684654202,0.00525792063713,0.0
"[[ scan ]] scanExclusiveShared(uint4*, uint4*, unsigned int)",0.996391855789,0.950112658391,0.0732176338508,0.278362375196,1.0,1.0,0.979131304087,0.000578250578251,0.256058765623,0.0,0.0,0.5,0.5,0.0279138855893,0.0,0.0,0.294777293512,0.483807589844,0.153527119833,0.386256879388,0.525529002902,0.489835711973,0.0902907089037,0.163170756872,0.228828400468,1.0,1.0,0.0,0.2,0.4,0.0,0.0,0.0,1.0,0.1,0.473856211111,0.2,0.0518846655959,0.106757681237,0.60452064497,3.33578513541e-08,0.169294720456,0.0516527223719,0.000800505050427,0.145583477004,0.0,0.0,0.0,0.0,0.249167929424,0.286172117262,0.249157391751,0.286172117262,0.0,0.333333333333,0.0098986031911,0.0,0.0
"[[ scan ]] uniformUpdate(uint4*, unsigned int*)",0.99619390382,0.908030714988,0.0130540514097,0.0560995480054,1.0,0.968719453236,0.969501472227,0.000884250884251,0.0552932282178,0.0,0.0,0.44791665625,0.5,0.00196089522409,0.0,0.0,0.294789895925,0.483362969334,0.154583665131,0.385901908251,0.525551457946,0.489584103159,0.0909120728948,0.0114509580543,0.00315276902872,0.99321705,1.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.1,0.495756172222,0.1,0.0110151470915,0.0,0.568110059741,1.2342405001e-06,0.459095437247,0.0115656131839,0.000319163017643,0.0395489190891,0.0,0.0,0.00567517216949,1.0,0.250882657118,0.285909124297,0.250866571897,0.285909124297,0.0,0.333333333333,0.00107996398569,0.0,0.0
"[[ scan ]] scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",0.770601109989,0.491004692227,0.0114050603252,0.0521258773241,1.0,1.0,0.961153023539,0.0846743346743,0.0479119226044,0.0,0.0,1.0,0.125,9.95767105983e-05,0.0,0.0,0.0265608267811,0.0217863383673,0.110684554338,0.0173935325689,0.375769346036,0.113353536411,0.00813561943852,0.0268567384461,0.0398371792954,0.125,1.0,0.0,0.1,0.2,0.0,0.0,0.0,0.444444444444,0.1,0.416666666667,0.1,0.0333346987462,0.0256195695423,0.599587671945,0.0,0.270873150587,0.0380385318314,0.0477770363935,0.112941177865,0.0,0.0584765957771,0.00840524043388,0.0,0.179636283502,0.0128866158961,0.180598373819,0.0129844723692,0.148148150066,0.0,0.000991829277569,0.0,0.0
"[[ c++11_cuda ]] xyzw_frequency(int*, char*, int)",0.985708552332,0.15425926342,0.0279389589042,0.111019239367,0.999986273758,0.69328983642,0.700474056238,0.000198000198,0.111353011061,0.0,0.0,0.124999375,0.0,0.0,0.858318542954,0.0,0.0298242294169,0.0,0.0155331775697,0.0,0.053180731011,0.00779409330212,0.0365408174351,0.0,0.0,0.99999473,0.0,0.0,0.1,0.2,0.0,0.25,0.0,0.111111111111,0.1,0.0,0.0,0.0881216071058,0.218209263098,0.750961448811,0.0,0.0,0.0142141686004,0.000871034619495,2.08260889249e-06,0.0,0.827471087823,0.0,0.0,0.0252096808473,0.0,0.0422503736062,0.0195715047546,0.0,0.0,0.00285077990912,0.0,0.0
"[[ c++11_cuda ]] xyzw_frequency_thrust_device(int*, char*, int)",0.142626280383,2.55345400617e-05,0.00600064391679,0.0300164720421,1.0,-0.0322580645161,3.09677406548e-08,0.0,0.0311347536094,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.000109670507307,0.0,0.0018782085998,0.0,0.000195516415174,2.14713355353e-05,0.00110459172379,0.0,0.0,0.03125,0.125,0.0,0.1,0.0,0.0,0.0,0.0,0.111111111111,0.1,0.0,0.0,0.0783813970203,0.278287627124,0.677915540441,0.0,0.0,0.0221832732509,-1.02340504292e-06,1.2816054723e-07,0.0,0.0,0.810535553287,0.0,0.00304825198537,0.0,0.00304786246399,0.0,0.0,0.0,5.68163974621e-05,0.0,0.0
"[[ cuSolverSp_LinearSolver ]] void pegasus_scatter_core<double, int=256>(int, double const *, double*, int const *)",0.803494857378,0.723845991996,0.0138476603902,0.061970179495,1.0,0.999491761415,0.902815508529,0.0578385578386,0.0679524112759,0.0,0.0,0.2497988125,0.56796540625,0.0,0.286106654014,0.0,0.130687327625,0.142991563601,0.0680651103412,0.259573869944,0.233130422307,0.442563142628,0.0400412947246,0.0,0.0,1.0,0.43981345,0.0,0.1,0.2,0.0,0.0,0.0,0.666666666667,0.1,0.0,0.0,0.00749829944612,0.0150121770033,0.827090498118,6.59151142757e-05,0.0,0.0241018623273,0.0380299047818,0.215442205312,0.0,0.153365781245,0.0,0.203672,0.110466754201,0.192314513765,0.110841333542,0.192387907761,0.111111112549,0.166666666667,0.00191553386841,0.0,0.0
"[[ cuSolverSp_LinearSolver ]] void pegasus_symgather_kernel<double, int=256>(int, double const *, int const *, double*)",0.741596847671,0.784974659522,0.0308858443031,0.131817963121,1.0,0.999481191093,0.936933019378,0.0560903060903,0.144542916389,0.0,0.0,0.405277625,0.2497988125,0.0,0.355579895729,0.0,0.248932150123,0.272375710071,0.193321453884,0.217456265676,0.64127992929,0.226382056058,0.0762695011315,0.0,0.0,0.67064754,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.888888888889,0.1,0.0,0.0,0.0726504747141,0.0422773664706,0.839581713357,0.0,0.0,0.0524039890423,0.0727428862557,0.0147668665127,0.0,0.249997415919,0.0270140353907,0.0,0.313752426476,0.161110191898,0.314447125412,0.161238631392,0.209876537297,0.333333333333,0.00545106467947,0.0,0.0
"[[ cuSolverSp_LinearSolver ]] void gather_core<double, int=256>(int, double const *, int const *, double*)",0.985523754551,0.941016233839,0.0285795988937,0.114576919355,1.0,0.999983665016,0.933386500815,0.00261675261675,0.125637552648,0.0,0.0,0.624832,0.249994125,0.0,0.119524201888,0.0,0.288754490058,0.315948386805,0.448841247405,0.252243330814,0.51480300517,0.320455429628,0.0884459155447,0.0,0.0,0.33506724,0.99999707,0.0,0.2,0.2,0.0,0.0,0.0,0.888888888889,0.1,0.0,0.0,0.0114231878006,0.0249351597587,0.708162289109,0.00109340365168,0.0,0.0188171619511,0.00258245620361,0.419578247349,0.0,0.0916058979686,0.556336451318,0.0,0.728450089975,0.186883423691,0.728452842304,0.186889537668,0.0,0.666666666667,0.00500286199438,0.0,0.0
"[[ cuSolverSp_LinearSolver ]] void chol_check_singularity<double, double, int=256>(int, int const *, double const *, double, int*)",0.689225779045,0.514335090791,0.00906229265433,0.0428516364733,1.0,0.999126797586,0.922719621255,0.168579168579,0.0469881494119,0.0,0.0,0.65515175,0.0,0.0,0.136208042202,0.0,0.0953820970459,0.0,0.153162906488,0.0,0.453939971976,0.116781814857,0.0292156734882,0.0,0.0,0.32433835,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.555555555556,0.1,0.0,0.0,0.0182071124384,0.0298149744863,0.881020481396,0.0,0.0,0.0453761178574,0.106524219416,9.29163967419e-07,0.0,0.125276425571,0.113033838884,0.0,0.248576826789,0.0,0.249386342788,0.000150309171225,0.246913574813,0.166666666667,0.000996764510343,0.0,0.0
