KernelName,ipc,issued_ipc,inst_per_warp,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,dram_read_transactions,dram_write_transactions,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,dram_read_throughput,dram_write_throughput,tex_cache_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_read_transactions,l2_write_transactions,l2_tex_write_hit_rate,l2_tex_read_throughput,l2_tex_write_throughput,l2_tex_read_transactions,l2_tex_write_transactions,l2_read_throughput,l2_write_throughput,l2_atomic_throughput,l2_atomic_transactions,eligible_warps_per_cycle
"[[ boxFilterNPP ]] void ForEachTupleByteQuad<unsigned char, int=1, TupleByteQuadFunctor<unsigned char, int=1, FilterBoxReplicateBorder5x5QuadNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",0.49544007904,0.468415521453,5.82040250445e-05,0.0,0.0,0.0,0.0,0.115234375,0.25,0.0,0.0,0.0,0.0,9.22334812108e-05,0.000144218643914,0.000306154690926,0.000843757859523,0.134618536389,0.0556704469717,0.198745272219,0.044445547306,0.0697470661225,0.0386966273916,0.072728501725,0.0,0.0,0.0,0.0,5.4635997594e-05,0.0,0.0,0.0,0.0,4.02579275093e-05,0.0,0.0,0.000120773744543,0.0,0.000433873125539,0.000436048961737,0.0,6.02703643791e-05,0.0,0.000123930604035,0.00738688827331,1.70859444171e-05,1.46580151503e-05,9.5575475024e-05,0.0,0.000413806098787,6.84876267531e-05,6.84876267531e-05,6.44193692888e-05,0.000122656166637,0.0,0.0,0.000178920463466,0.000143987336989,0.83007812,0.322555050961,0.0329290610839,0.000174152670678,0.000144015814174,0.331666746336,0.0329535235603,0.0,0.0,0.338106729346
"[[ scan ]] scanExclusiveShared(uint4*, uint4*, unsigned int)",0.278741975838,0.278362375196,2.99819584706e-06,0.0136732696938,0.0270606245119,0.0,0.0,0.5,0.5,0.0201218925385,0.0279138855893,0.0,0.0,0.000650324206503,0.0149987389671,0.0276022589875,0.127815643715,0.294777293512,0.483807589844,0.153527119833,0.386256879388,0.525529002902,0.489835711973,0.0902907089037,0.0,0.0,0.163170756872,0.228828400468,0.000811734821396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00473993490243,0.00475713976629,0.85294118,0.0,0.0,0.00151341632531,0.0,0.000517026883225,0.00181704926964,0.00604953826506,0.0,0.00423349715758,0.00190254085152,0.00190254085152,0.00280413662515,0.00683054562998,0.0,0.0,0.00160886039091,0.0149746830468,0.0,0.249167929424,0.286172117262,0.00160994468893,0.0149776446741,0.249157391751,0.286172117262,0.0,0.0,0.110136337826
"[[ scan ]] uniformUpdate(uint4*, unsigned int*)",0.0563571601716,0.0560995480054,5.77786827962e-07,0.0105657055182,0.0209104768745,0.0,0.0,0.44791665625,0.5,0.000277656120142,0.00196089522409,0.0,0.0,0.000655404864366,0.0149987389671,0.0276290839699,0.127869430274,0.294789895925,0.483362969334,0.154583665131,0.385901908251,0.525551457946,0.489584103159,0.0909120728948,0.0,0.0,0.0114509580543,0.00315276902872,0.000818076499688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000991013885634,0.000994782673806,0.89236111,0.0,0.0,0.000300445481942,0.0,0.000258513416326,0.000241326861274,0.00136667264676,0.0,0.00095157649965,0.000754270474822,0.000754270474822,0.0012497357642,0.00117244865168,0.0,0.0,0.00162141571598,0.0149746830468,1.0,0.250882657118,0.285909124297,0.00162252238182,0.0149776446741,0.250866571897,0.285909124297,0.0,0.0,0.020665890173
"[[ scan ]] scanExclusiveShared2(unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",0.0502619350622,0.0521258773241,2.6523905391e-06,0.0158485582773,0.0313657153118,0.0,0.0,1.0,0.125,7.59215953513e-05,9.95767105983e-05,0.0,0.0,1.01613157266e-05,1.46472060226e-05,0.000427741839609,0.000641081692768,0.0265608267811,0.0217863383673,0.110684554338,0.0173935325689,0.375769346036,0.113353536411,0.00813561943852,0.0,0.0,0.0268567384461,0.0398371792954,1.58541957304e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64159527381e-05,1.70351220166e-05,0.75,0.0,0.0,5.21851051773e-06,0.0,1.51467677328e-06,6.11152440888e-06,2.13536679536e-05,0.0,1.52514493516e-05,7.06679529473e-06,7.06679529473e-06,7.95176589659e-06,2.23498024227e-05,0.0,0.0,2.52296132258e-05,1.46237139129e-05,0.0,0.179636283502,0.0128866158961,2.51553857646e-05,1.46266061271e-05,0.180598373819,0.0129844723692,0.0,0.0,0.0197717100613
"[[ c++11_cuda ]] xyzw_frequency(int*, char*, int)",0.1113767796,0.111019239367,0.000981064099221,0.0,0.0,0.0,0.0,0.124999375,0.0,0.0,0.0,0.0,0.0,0.000307570630728,0.0,0.00326435414368,0.00232333894937,0.0298242294169,0.0,0.0155331775697,0.0,0.053180731011,0.00779409330212,0.0365408174351,0.0,0.0,0.0,0.0,0.000383909730722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00182649040904,0.00183287826194,0.0,0.0,0.0,0.000517141386202,0.0,0.000489055252026,0.000154991361105,0.00071297265109,0.0129376446759,0.00177942271519,0.00167908234758,0.00167908234758,0.000521899482182,0.000835084302722,0.819952070714,0.186929759087,0.00031881915032,0.00119675412608,0.0,0.0252096808473,0.0,0.000190356654522,0.0,0.0422503736062,0.0195715047546,0.0797318209208,0.692690370823,0.0386318926014
"[[ c++11_cuda ]] xyzw_frequency_thrust_device(int*, char*, int)",0.0302853961328,0.0300164720421,1.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0024605642825,1.7604814931e-08,0.00326950531784,0.0023164278273,0.000109670507307,0.0,0.0018782085998,0.0,0.000195516415174,2.14713355353e-05,0.00110459172379,0.0,0.0,0.0,0.0,0.003071276893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029088023305,0.0291872160371,0.0,0.0,0.0,0.000383358859702,0.0,4.07545200491e-05,0.000151785344075,0.00129273777967,0.0,0.0293705145548,0.00365297562034,0.00365297562034,0.00311983315174,0.0113563489137,0.0,0.0,0.0060871611136,1.75765792222e-08,0.0,0.00304825198537,0.0,0.00609138082019,1.75800554412e-08,0.00304786246399,0.0,0.0,0.0,0.0102854368398
"[[ cuSolverSp_LinearSolver ]] void pegasus_scatter_core<double, int=256>(int, double const *, double*, int const *)",0.0592906056159,0.061970179495,9.2814444466e-07,0.0,0.0,0.0,0.0,0.2497988125,0.56796540625,0.0,0.0,0.0,0.0,1.13734678731e-05,0.000298207960116,0.000362266852269,0.00341649817051,0.130687327625,0.142991563601,0.0680651103412,0.259573869944,0.233130422307,0.442563142628,0.0400412947246,0.0,0.0,0.0,0.0,1.0650132204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69520490535e-05,2.7737532043e-05,0.0,0.0,0.0,9.99443992522e-06,0.0,1.51467677328e-06,4.20958365812e-06,3.59737710386e-05,0.0,2.93807633907e-05,1.69303915496e-05,1.69303915496e-05,1.71404301398e-05,1.97427952044e-05,0.0,0.0,2.11319962285e-05,0.000297729675446,0.203672,0.110466754201,0.192314513765,2.11171451262e-05,0.000297788559118,0.110841333542,0.192387907761,0.0,0.0,0.029143253824
"[[ cuSolverSp_LinearSolver ]] void pegasus_symgather_kernel<double, int=256>(int, double const *, int const *, double*)",0.122269458188,0.131817963121,9.59033998745e-07,0.0,0.0,0.0,0.0,0.405277625,0.2497988125,0.0,0.0,0.0,0.0,1.84524974741e-05,0.000131155871236,0.000523151952284,0.000917526575518,0.248932150123,0.272375710071,0.193321453884,0.217456265676,0.64127992929,0.226382056058,0.0762695011315,0.0,0.0,0.0,0.0,1.0650132204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77930598248e-05,2.85814107354e-05,0.0,0.0,0.0,1.15695494497e-05,0.0,1.51467677328e-06,4.20958365812e-06,2.99983613401e-05,0.0,3.02746352807e-05,1.27057262419e-05,1.27057262419e-05,1.71404301398e-05,1.97427952044e-05,0.0,0.0,3.14950017957e-05,0.000130945515206,0.0,0.313752426476,0.161110191898,3.14876947863e-05,0.000130971413037,0.314447125412,0.161238631392,0.0,0.0,0.0650133599695
"[[ cuSolverSp_LinearSolver ]] void gather_core<double, int=256>(int, double const *, int const *, double*)",0.113744800256,0.114576919355,8.99510167063e-07,0.0,0.0,0.0,0.0,0.624832,0.249994125,0.0,0.0,0.0,0.0,0.000650143299665,0.00299964920646,0.00828039907928,0.0256079608915,0.288754490058,0.315948386805,0.448841247405,0.252243330814,0.51480300517,0.320455429628,0.0884459155447,0.0,0.0,0.0,0.0,0.000243512443099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00059585974097,0.000598585249505,0.0,0.0,0.0,0.00022817410088,0.0,3.44761795138e-05,9.62765685298e-05,0.000820116759911,0.0,0.000634046733416,0.000289679679349,0.000289679679349,0.000391672862361,0.000450268899407,0.0,0.0,0.0014405030931,0.00299483818052,0.0,0.728450089975,0.186883423691,0.00144140058083,0.00299543048651,0.728452842304,0.186889537668,0.0,0.0,0.0604660716702
"[[ cuSolverSp_LinearSolver ]] void chol_check_singularity<double, double, int=256>(int, int const *, double const *, double, int*)",0.0416022785807,0.0428516364733,7.66052267543e-07,0.0,0.0,0.0,0.0,0.65515175,0.0,0.0,0.0,0.0,0.0,1.00178115682e-05,0.0,0.000324329588451,0.000414517082341,0.0953820970459,0.0,0.153162906488,0.0,0.453939971976,0.116781814857,0.0292156734882,0.0,0.0,0.0,0.0,3.57291069645e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70084326445e-06,8.3047804367e-06,0.0,0.0,1.86688926459e-05,2.84858733695e-06,0.0,5.17804930774e-07,9.4174131054e-07,1.02177500672e-05,0.0,8.796773579e-06,4.3153233615e-06,4.3153233615e-06,3.34872322325e-06,5.58745060567e-06,0.0,0.0,2.18627693981e-05,0.0,0.0,0.248576826789,0.0,2.18484502862e-05,0.0,0.249386342788,0.000150309171225,0.0,0.0,0.0198217809935
