==25402== NVPROF is profiling process 25402, command: ./FilterBorderControlNPP
==25402== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25402== Profiling application: ./FilterBorderControlNPP
==25402== Profiling result:
==25402== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"sm_efficiency","Multiprocessor Activity",57.704650%,71.875328%,64.460563%
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"achieved_occupancy","Achieved Occupancy",0.777915,0.858080,0.822987
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"ipc","Executed IPC",1.276714,2.434572,1.845953
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"issued_ipc","Issued IPC",1.718154,2.011015,1.870151
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"inst_per_warp","Instructions per warp",102.000000,102.000000,102.000000
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.004289%,99.019608%,99.011949%
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"inst_replay_overhead","Instruction Replay Overhead",0.010436,0.020470,0.015407
"GeForce GTX 950 (0)","void ForEachTupleByte<unsigned char, int=1, TupleByteFunctor<unsigned char, int=1, AbsDiffNew<unsigned char, int=1>>>(Tuple8<unsigned char, int=1>*, int, NppiSize, unsigned char)",4,"issue_slot_utilization","Issue Slot Utilization",41.286454%,48.344021%,44.948321%
