==25823== NVPROF is profiling process 25823, command: ./MC_EstimatePiP
==25823== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25823== Profiling application: ./MC_EstimatePiP
==25823== Profiling result:
==25823== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"sm_efficiency","Multiprocessor Activity",65.473727%,65.473727%,65.473727%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"achieved_occupancy","Achieved Occupancy",0.865346,0.865346,0.865346
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"ipc","Executed IPC",1.235587,1.235587,1.235587
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"issued_ipc","Issued IPC",1.215130,1.215130,1.215130
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_per_warp","Instructions per warp",219.061856,219.061856,219.061856
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"warp_execution_efficiency","Warp Execution Efficiency",96.226808%,96.226808%,96.226808%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",93.944347%,93.944347%,93.944347%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.017718,0.017718,0.017718
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"issue_slot_utilization","Issue Slot Utilization",27.475241%,27.475241%,27.475241%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_transactions","Shared Store Transactions",1164,1164,1164
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_transactions","Shared Load Transactions",1649,1649,1649
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_transactions","Global Load Transactions",50000,50000,50000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_transactions","Global Store Transactions",97,97,97
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_read_transactions","Device Memory Read Transactions",12684,12684,12684
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_write_transactions","Device Memory Write Transactions",3491,3491,3491
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_requested_throughput","Requested Global Load Throughput",58.758522GB/s,58.758522GB/s,58.758073GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_requested_throughput","Requested Global Store Throughput",29.181832MB/s,29.181832MB/s,28.610229MB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_throughput","Global Load Throughput",58.758522GB/s,58.758522GB/s,58.758073GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_throughput","Global Store Throughput",233.454659MB/s,233.454659MB/s,232.696533MB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_read_throughput","Device Memory Read Throughput",29.811724GB/s,29.811724GB/s,29.811636GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_write_throughput","Device Memory Write Throughput",8.205040GB/s,8.205040GB/s,8.204952GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_cache_throughput","Unified Cache Throughput",58.758522GB/s,58.758522GB/s,58.758073GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_load_throughput","Shared Memory Load Throughput",15.502848GB/s,15.502848GB/s,15.502796GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"shared_store_throughput","Shared Memory Store Throughput",10.943187GB/s,10.943187GB/s,10.943040GB/s
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"gst_efficiency","Global Memory Store Efficiency",12.500000%,12.500000%,12.500000%
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_cache_transactions","Unified Cache Transactions",25000,25000,25000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",300000,300000,300000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",100000,100000,100000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",100000,100000,100000
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_executed","Instructions Executed",84996,84996,84996
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"inst_issued","Instructions Issued",86499,86499,86499
"GeForce GTX 950 (0)","void computeValue<float>(unsigned int*, float const *, unsigned int)",1,"dram_utilization","Device Memory Utilization","Mid (4)","Mid (4)","Mid (4)"
