timestamp, utilization.gpu [%]
2018/02/26 22:31:36.591, 0 %
2018/02/26 22:31:36.592, 0 %
2018/02/26 22:31:36.594, 0 %
2018/02/26 22:31:36.595, 0 %
2018/02/26 22:31:36.596, 0 %
2018/02/26 22:31:36.600, 0 %
2018/02/26 22:31:36.603, 0 %
2018/02/26 22:31:36.604, 0 %
2018/02/26 22:31:36.605, 0 %
2018/02/26 22:31:36.606, 0 %
2018/02/26 22:31:36.606, 0 %
2018/02/26 22:31:36.607, 0 %
2018/02/26 22:31:37.109, 0 %
2018/02/26 22:31:37.109, 0 %
2018/02/26 22:31:37.109, 0 %
2018/02/26 22:31:37.110, 0 %
2018/02/26 22:31:37.110, 0 %
2018/02/26 22:31:37.110, 0 %
2018/02/26 22:31:37.110, 0 %
2018/02/26 22:31:37.111, 0 %
2018/02/26 22:31:37.111, 0 %
2018/02/26 22:31:37.111, 0 %
2018/02/26 22:31:37.114, 0 %
2018/02/26 22:31:37.114, 0 %
2018/02/26 22:31:37.614, 0 %
2018/02/26 22:31:37.615, 0 %
2018/02/26 22:31:37.616, 0 %
2018/02/26 22:31:37.616, 0 %
2018/02/26 22:31:37.616, 0 %
2018/02/26 22:31:37.616, 0 %
2018/02/26 22:31:37.617, 0 %
2018/02/26 22:31:37.617, 0 %
2018/02/26 22:31:37.617, 0 %
2018/02/26 22:31:37.617, 0 %
2018/02/26 22:31:37.618, 0 %
2018/02/26 22:31:37.618, 0 %
2018/02/26 22:31:38.118, 0 %
2018/02/26 22:31:38.118, 0 %
2018/02/26 22:31:38.119, 0 %
2018/02/26 22:31:38.119, 0 %
2018/02/26 22:31:38.120, 0 %
2018/02/26 22:31:38.120, 0 %
2018/02/26 22:31:38.120, 0 %
2018/02/26 22:31:38.121, 0 %
2018/02/26 22:31:38.121, 0 %
2018/02/26 22:31:38.121, 0 %
2018/02/26 22:31:38.124, 0 %
2018/02/26 22:31:38.124, 0 %
2018/02/26 22:31:38.625, 0 %
2018/02/26 22:31:38.625, 0 %
2018/02/26 22:31:38.626, 0 %
2018/02/26 22:31:38.626, 0 %
2018/02/26 22:31:38.626, 0 %
2018/02/26 22:31:38.627, 0 %
2018/02/26 22:31:38.627, 0 %
2018/02/26 22:31:38.627, 0 %
2018/02/26 22:31:38.627, 0 %
2018/02/26 22:31:38.628, 0 %
2018/02/26 22:31:38.629, 0 %
2018/02/26 22:31:38.631, 0 %
2018/02/26 22:31:39.133, 1 %
2018/02/26 22:31:39.134, 0 %
2018/02/26 22:31:39.135, 0 %
2018/02/26 22:31:39.135, 0 %
2018/02/26 22:31:39.137, 0 %
2018/02/26 22:31:39.137, 0 %
2018/02/26 22:31:39.137, 0 %
2018/02/26 22:31:39.138, 0 %
2018/02/26 22:31:39.138, 0 %
2018/02/26 22:31:39.139, 0 %
2018/02/26 22:31:39.139, 0 %
2018/02/26 22:31:39.140, 0 %
2018/02/26 22:31:39.641, 0 %
2018/02/26 22:31:39.671, 2 %
2018/02/26 22:31:39.674, 0 %
2018/02/26 22:31:39.677, 0 %
2018/02/26 22:31:39.677, 0 %
2018/02/26 22:31:39.678, 0 %
2018/02/26 22:31:39.678, 0 %
2018/02/26 22:31:39.678, 0 %
2018/02/26 22:31:39.679, 0 %
2018/02/26 22:31:39.679, 0 %
2018/02/26 22:31:39.679, 0 %
2018/02/26 22:31:39.680, 0 %
2018/02/26 22:31:40.180, 0 %
2018/02/26 22:31:40.187, 0 %
2018/02/26 22:31:40.191, 0 %
2018/02/26 22:31:40.193, 0 %
2018/02/26 22:31:40.194, 0 %
2018/02/26 22:31:40.197, 0 %
2018/02/26 22:31:40.200, 0 %
2018/02/26 22:31:40.202, 0 %
2018/02/26 22:31:40.205, 0 %
2018/02/26 22:31:40.207, 0 %
2018/02/26 22:31:40.209, 0 %
2018/02/26 22:31:40.211, 0 %
2018/02/26 22:31:40.713, 0 %
2018/02/26 22:31:40.719, 0 %
2018/02/26 22:31:40.719, 0 %
2018/02/26 22:31:40.720, 0 %
2018/02/26 22:31:40.720, 0 %
2018/02/26 22:31:40.720, 0 %
2018/02/26 22:31:40.721, 0 %
2018/02/26 22:31:40.722, 0 %
2018/02/26 22:31:40.722, 0 %
2018/02/26 22:31:40.723, 0 %
2018/02/26 22:31:40.724, 0 %
2018/02/26 22:31:40.726, 0 %
2018/02/26 22:31:41.226, 0 %
