==24942== NVPROF is profiling process 24942, command: ./dmr ../../inputs/250k.2 20 0
==24942== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24942== Profiling application: ./dmr ../../inputs/250k.2 20 0
==24942== Profiling result:
==24942== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_per_warp","Instructions per warp",33.000000,80063.158482,1771.880655
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"branch_efficiency","Branch Efficiency",91.647241%,100.000000%,96.813470%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"warp_execution_efficiency","Warp Execution Efficiency",37.654942%,100.000000%,81.235712%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",34.433956%,93.939394%,75.378026%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_replay_overhead","Instruction Replay Overhead",0.000053,0.126249,0.069014
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,18.576147,15.065909
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,2.000000,1.724112
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gld_transactions","Global Load Transactions",0,17810334,525639
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gst_transactions","Global Store Transactions",0,179713,8324
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_read_transactions","L2 Read Transactions",581,14699318,426254
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_write_transactions","L2 Write Transactions",461,180174,10536
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"global_hit_rate","Global Hit Rate",0.000000%,26.153846%,20.653640%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,92.278352GB/s,45.991503GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,5.948250GB/s,1.604669GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gld_throughput","Global Load Throughput",0.000000B/s,333.555885GB/s,168.156810GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gst_throughput","Global Store Throughput",0.000000B/s,7.688844GB/s,3.302470GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"tex_cache_hit_rate","Unified Cache Hit Rate",19.313268%,100.000000%,41.597866%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,75.400709%,53.764619%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,100.000000%,82.088653%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"tex_cache_throughput","Unified Cache Throughput",0.000000B/s,145.963485GB/s,91.237016GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",0.000000B/s,333.555885GB/s,168.156810GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,7.688844GB/s,3.302470GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_read_throughput","L2 Throughput (Reads)",3.214460GB/s,335.687464GB/s,169.164501GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_write_throughput","L2 Throughput (Writes)",1.536646GB/s,9.736979GB/s,4.180707GB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"sysmem_write_throughput","System Memory Write Throughput",54.850586KB/s,69.802328MB/s,976.562500KB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gld_efficiency","Global Memory Load Efficiency",0.000000%,30.422794%,28.219184%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"gst_efficiency","Global Memory Store Efficiency",0.000000%,77.362075%,45.184167%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"tex_cache_transactions","Unified Cache Transactions",0,10809338,229895
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_dp","Floating Point Operations(Double Precision)",0,101348057,2952473
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,28121148,826409
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,20064299,583166
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,33098311,959730
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,6517006,188281
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_executed","Instructions Executed",14784,35868295,793802
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_issued","Instructions Issued",16614,35870141,795754
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.643394%,52.604272%,13.698787%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",12.131584%,57.605388%,27.396861%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.000000%,80.246431%,29.533229%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.780419%,0.104671%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_other","Issue Stall Reasons (Other)",0.240257%,5.916728%,2.131456%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.014966%,61.929116%,26.517430%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.002444%,0.051012%,0.025725%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_fp_32","FP Instructions(Single)",0,13034012,376563
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_fp_64","FP Instructions(Double)",0,94831051,2764191
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_integer","Integer Instructions",172032,151541146,4360555
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_bit_convert","Bit-Convert Instructions",0,13034012,376563
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_control","Control-Flow Instructions",71232,39414523,962431
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_compute_ld_st","Load/Store Instructions",448,31758698,959230
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_misc","Misc Instructions",114688,51528480,1649636
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"inst_inter_thread_communication","Inter-Thread Instructions",86016,608216,113686
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"issue_slots","Issue Slots",14374,32476840,717867
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"cf_issued","Issued Control-Flow Instructions",2688,3893893,86877
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"cf_executed","Executed Control-Flow Instructions",2688,3893893,86877
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"ldst_issued","Issued Load/Store Instructions",4032,7668485,179886
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"ldst_executed","Executed Load/Store Instructions",4032,2166784,56216
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"atomic_transactions","Atomic Transactions",448,24565,2197
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"atomic_transactions_per_request","Atomic Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_atomic_throughput","L2 Throughput (Atomic requests)",4.799438MB/s,6.107704GB/s,892.639160MB/s
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_atomic_transactions","L2 Transactions (Atomic requests)",896,49130,4395
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",0,14698726,423715
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.000085%,1.010105%,0.430325%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.047040%,0.257041%,0.161517%
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",0,179713,8323
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","check_triangles(Mesh, unsigned int*, Worklist2, int)",105,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
