==27155== NVPROF is profiling process 27155, command: ./FFT -d 0
==27155== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27155== Profiling application: ./FFT -d 0
==27155== Profiling result:
==27155== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_per_warp","Instructions per warp",84.000000,84.000000,84.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",70.238095%,70.238095%,70.238095%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_replay_overhead","Instruction Replay Overhead",0.035435,0.035714,0.035603
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_transactions_per_request","Global Load Transactions Per Request",16.000000,16.000000,16.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_transactions","Global Load Transactions",32768,32768,32768
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_transactions","Global Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_read_transactions","L2 Read Transactions",32864,33152,33041
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_write_transactions","L2 Write Transactions",13,13,13
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_requested_throughput","Requested Global Load Throughput",264.651084GB/s,268.360126GB/s,266.906805GB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_requested_throughput","Requested Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_throughput","Global Load Throughput",264.651084GB/s,268.360126GB/s,266.906805GB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_throughput","Global Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"tex_cache_hit_rate","Unified Cache Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"tex_cache_throughput","Unified Cache Throughput",264.651084GB/s,268.360126GB/s,266.906805GB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",264.651084GB/s,268.360126GB/s,266.906805GB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_read_throughput","L2 Throughput (Reads)",266.075393GB/s,271.504972GB/s,269.135460GB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_write_throughput","L2 Throughput (Writes)",107.514503MB/s,109.021301MB/s,107.765198MB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_write_throughput","System Memory Write Throughput",41.351731MB/s,41.931270MB/s,41.007996MB/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"gst_efficiency","Global Memory Store Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"tex_cache_transactions","Unified Cache Transactions",32768,32768,32768
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_executed","Instructions Executed",10752,10752,10752
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_issued","Instructions Issued",11132,11136,11134
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.597861%,8.635101%,5.595115%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",17.924635%,19.449253%,18.476345%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_memory_dependency","Issue Stall Reasons (Data Request)",57.112294%,60.988812%,58.958496%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_texture","Issue Stall Reasons (Texture)",0.787733%,0.857934%,0.822544%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_other","Issue Stall Reasons (Other)",1.267918%,1.725313%,1.383572%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",13.698048%,16.045200%,14.595511%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.077467%,0.083622%,0.080311%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_fp_32","FP Instructions(Single)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_fp_64","FP Instructions(Double)",65536,65536,65536
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_integer","Integer Instructions",53248,53248,53248
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_control","Control-Flow Instructions",4096,4096,4096
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_compute_ld_st","Load/Store Instructions",65536,65536,65536
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_misc","Misc Instructions",53248,53248,53248
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"issue_slots","Issue Slots",9724,9728,9726
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"cf_issued","Issued Control-Flow Instructions",128,128,128
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"cf_executed","Executed Control-Flow Instructions",128,128,128
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"ldst_issued","Issued Load/Store Instructions",8576,8576,8576
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"ldst_executed","Executed Load/Store Instructions",3328,3328,3328
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",32768,32768,32768
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.000000%,0.074748%,0.038959%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.044132%,0.054168%,0.049148%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"sm_activity","Multiprocessor Activity",31.649173%,34.262726%,33.299629%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"achieved_occupancy","Achieved Occupancy",0.068819,0.069664,0.069274
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"executed_ipc","Executed IPC",0.134690,0.148267,0.141023
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"issued_ipc","Issued IPC",0.139857,0.153562,0.146797
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"issue_slot_utilization","Issue Slot Utilization",3.054265%,3.353650%,3.205855%
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.124005,0.134710,0.128782
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"shared_utilization","Shared Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void chk512_device<double2>(double2 const *, int, char*)",10,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
