timestamp, utilization.gpu [%]
2018/03/12 10:36:35.856, 0 %
2018/03/12 10:36:35.857, 0 %
2018/03/12 10:36:35.858, 0 %
2018/03/12 10:36:35.859, 0 %
2018/03/12 10:36:35.861, 0 %
2018/03/12 10:36:35.865, 0 %
2018/03/12 10:36:35.866, 0 %
2018/03/12 10:36:35.867, 0 %
2018/03/12 10:36:35.867, 0 %
2018/03/12 10:36:35.868, 0 %
2018/03/12 10:36:35.872, 0 %
2018/03/12 10:36:35.873, 0 %
2018/03/12 10:36:36.374, 0 %
2018/03/12 10:36:36.375, 0 %
2018/03/12 10:36:36.375, 0 %
2018/03/12 10:36:36.375, 0 %
2018/03/12 10:36:36.375, 0 %
2018/03/12 10:36:36.375, 0 %
2018/03/12 10:36:36.376, 0 %
2018/03/12 10:36:36.376, 0 %
2018/03/12 10:36:36.376, 0 %
2018/03/12 10:36:36.376, 0 %
2018/03/12 10:36:36.377, 0 %
2018/03/12 10:36:36.377, 0 %
2018/03/12 10:36:36.877, 0 %
2018/03/12 10:36:36.879, 0 %
2018/03/12 10:36:36.879, 0 %
2018/03/12 10:36:36.879, 0 %
2018/03/12 10:36:36.880, 0 %
2018/03/12 10:36:36.880, 0 %
2018/03/12 10:36:36.880, 0 %
2018/03/12 10:36:36.880, 0 %
2018/03/12 10:36:36.883, 0 %
2018/03/12 10:36:36.885, 0 %
2018/03/12 10:36:36.886, 0 %
2018/03/12 10:36:36.886, 0 %
2018/03/12 10:36:37.386, 0 %
2018/03/12 10:36:37.386, 0 %
2018/03/12 10:36:37.387, 0 %
2018/03/12 10:36:37.387, 0 %
2018/03/12 10:36:37.387, 0 %
2018/03/12 10:36:37.387, 0 %
2018/03/12 10:36:37.388, 0 %
2018/03/12 10:36:37.388, 0 %
2018/03/12 10:36:37.388, 0 %
2018/03/12 10:36:37.388, 0 %
2018/03/12 10:36:37.389, 0 %
2018/03/12 10:36:37.389, 0 %
2018/03/12 10:36:37.889, 0 %
2018/03/12 10:36:37.891, 0 %
2018/03/12 10:36:37.894, 0 %
2018/03/12 10:36:37.894, 0 %
2018/03/12 10:36:37.894, 0 %
2018/03/12 10:36:37.894, 0 %
2018/03/12 10:36:37.895, 0 %
2018/03/12 10:36:37.895, 0 %
2018/03/12 10:36:37.895, 0 %
2018/03/12 10:36:37.895, 0 %
2018/03/12 10:36:37.896, 0 %
2018/03/12 10:36:37.896, 0 %
2018/03/12 10:36:38.396, 0 %
2018/03/12 10:36:38.397, 0 %
2018/03/12 10:36:38.397, 0 %
2018/03/12 10:36:38.397, 0 %
2018/03/12 10:36:38.397, 0 %
2018/03/12 10:36:38.398, 0 %
2018/03/12 10:36:38.400, 0 %
2018/03/12 10:36:38.400, 0 %
2018/03/12 10:36:38.400, 0 %
2018/03/12 10:36:38.400, 0 %
2018/03/12 10:36:38.401, 0 %
2018/03/12 10:36:38.401, 0 %
2018/03/12 10:36:38.901, 0 %
2018/03/12 10:36:38.902, 0 %
2018/03/12 10:36:38.905, 0 %
2018/03/12 10:36:38.905, 0 %
2018/03/12 10:36:38.908, 0 %
2018/03/12 10:36:38.909, 0 %
2018/03/12 10:36:38.910, 0 %
2018/03/12 10:36:38.911, 0 %
2018/03/12 10:36:38.915, 0 %
2018/03/12 10:36:38.917, 0 %
2018/03/12 10:36:38.933, 0 %
2018/03/12 10:36:38.933, 0 %
2018/03/12 10:36:39.434, 0 %
2018/03/12 10:36:39.435, 0 %
2018/03/12 10:36:39.436, 0 %
2018/03/12 10:36:39.438, 0 %
2018/03/12 10:36:39.438, 0 %
2018/03/12 10:36:39.440, 0 %
2018/03/12 10:36:39.442, 0 %
2018/03/12 10:36:39.445, 0 %
2018/03/12 10:36:39.445, 0 %
2018/03/12 10:36:39.448, 0 %
2018/03/12 10:36:39.449, 0 %
2018/03/12 10:36:39.451, 0 %
2018/03/12 10:36:39.952, 0 %
2018/03/12 10:36:39.952, 0 %
2018/03/12 10:36:39.953, 0 %
2018/03/12 10:36:39.953, 0 %
2018/03/12 10:36:39.954, 0 %
2018/03/12 10:36:39.954, 0 %
2018/03/12 10:36:39.955, 0 %
2018/03/12 10:36:39.956, 0 %
