==2769== NVPROF is profiling process 2769, command: ./convolutionFFT2D 0
==2769== Profiling application: ./convolutionFFT2D 0
==2769== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
1.251145,0.001056,,,,,,,,,,0.000160,0.148165,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.251280,41.064970,,,,,,,,,,15.258789,0.362868,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.292349,0.084645,,,,,,,,,,16.000000,184.594483,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.292435,0.083620,,,,,,,,,,16.000000,186.857211,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
1.292539,0.001536,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [2599]"
1.292542,0.092581,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [2613]"
1.292636,0.101701,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2617]"
1.292740,0.104197,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2622]"
1.292845,0.101861,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2627]"
1.292949,0.098085,4096,1,1,256,1,1,27,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2632]"
1.293078,0.100741,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2637]"
1.293190,0.102885,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2642]"
1.293294,0.104453,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2647]"
1.293400,0.097157,4096,1,1,256,1,1,27,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex24postprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2652]"
1.293499,0.136551,8200,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","modulateAndNormalize_kernel(float2*, float2*, int, float) [2659]"
1.293637,0.098085,4096,1,1,256,1,1,37,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","__nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex23preprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t [2663]"
1.293737,0.099173,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2667]"
1.293837,0.099557,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2672]"
1.293938,0.102117,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2677]"
1.294060,40.109051,,,,,,,,,,16.000000,0.389563,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
2.287212,41.053482,,,,,,,,,,15.258789,0.362969,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.328274,0.000864,,,,,,,,,,0.000160,0.181091,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
2.328295,0.084100,,,,,,,,,,16.000000,185.790725,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
2.328381,0.083621,,,,,,,,,,16.000000,186.854977,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
2.328466,0.092580,64,256,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int) [2805]"
2.328569,0.001440,1,1,1,32,8,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","padKernel_kernel(float*, float*, int, int, int, int, int, int) [2817]"
2.328577,0.099141,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2821]"
2.328677,0.099653,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2826]"
2.328779,0.101989,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2831]"
2.328882,0.098565,4096,1,1,256,1,1,22,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","spPostprocess2D_kernel(float2*, float2*, unsigned int, unsigned int, unsigned int, unsigned int, float) [2843]"
2.329011,0.100165,1024,1,1,64,4,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2848]"
2.329113,0.100325,1024,1,1,32,8,1,48,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>) [2853]"
2.329234,0.101989,1024,1,1,64,2,1,80,10.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=-1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>) [2858]"
2.329337,0.098245,4096,1,1,256,1,1,22,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","spPostprocess2D_kernel(float2*, float2*, unsigned int, unsigned int, unsigned int, unsigned int, float) [2870]"
2.329437,0.138759,8320,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","modulateAndNormalize_kernel(float2*, float2*, int, float) [2877]"
