==24469== NVPROF is profiling process 24469, command: ./interval 0
==24469== Profiling application: ./interval 0
==24469== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,MB/s,,,,
592.434897,0.336977,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1171]"
592.773474,0.335633,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1178]"
593.110547,0.330417,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1185]"
593.442436,0.333872,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1192]"
593.778037,0.338449,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1199]"
594.118214,0.334353,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1206]"
594.454039,0.336561,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1213]"
594.792072,0.333553,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1220]"
595.127129,0.335665,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1227]"
595.464266,0.331153,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1234]"
595.797083,0.334481,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1241]"
596.133324,0.338737,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1248]"
596.473757,0.336849,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1255]"
596.812302,0.335025,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1262]"
597.149023,0.331569,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1269]"
597.482064,0.335889,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1276]"
597.819617,0.334161,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1283]"
598.155250,0.337009,1024,1,1,64,1,1,72,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","void test_interval_newton<double>(interval_gpu<double>*, int*, interval_gpu<double>, int) [1290]"
