==20595== NVPROF is profiling process 20595, command: ./sortingNetworks 0
==20595== Profiling application: ./sortingNetworks 0
==20595== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,MB/s,,,,
0.631440,10.754684,,,,,,,,,,4.000000,371.930964,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.642286,10.754780,,,,,,,,,,4.000000,371.927645,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.653072,0.132007,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1172]"
0.653222,10.016567,,,,,,,,,,4.000000,399.338415,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.663588,10.018039,,,,,,,,,,4.000000,399.279738,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
3.034141,0.165832,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1184]"
3.034332,10.018455,,,,,,,,,,4.000000,399.263160,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
3.044460,10.016311,,,,,,,,,,4.000000,399.348622,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.236872,0.203850,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1196]"
4.237099,10.018551,,,,,,,,,,4.000000,399.259334,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.247228,10.016311,,,,,,,,,,4.000000,399.348622,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.855203,0.243628,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1208]"
4.855470,10.019831,,,,,,,,,,4.000000,399.208329,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
4.865600,10.016279,,,,,,,,,,4.000000,399.349897,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.180053,0.285743,1024,1,1,512,1,1,14,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int) [1220]"
5.180360,10.019831,,,,,,,,,,4.000000,399.208329,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.190491,10.016759,,,,,,,,,,4.000000,399.330761,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.358365,0.255117,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1230]"
5.358621,0.047266,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1240]"
5.358670,0.053443,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1249]"
5.358744,10.018839,,,,,,,,,,4.000000,399.247856,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.368872,10.016631,,,,,,,,,,4.000000,399.335864,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.463547,0.254957,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1259]"
5.463804,0.047106,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1269]"
5.463852,0.054531,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1278]"
5.463908,0.046498,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1288]"
5.463956,0.047747,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1298]"
5.464005,0.053667,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1307]"
5.464081,10.017815,,,,,,,,,,4.000000,399.288667,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.474210,10.020055,,,,,,,,,,4.000000,399.199405,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.532370,0.255020,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1317]"
5.532627,0.047651,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1327]"
5.532676,0.054371,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1336]"
5.532732,0.046786,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1346]"
5.532780,0.046787,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1356]"
5.532828,0.053698,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1365]"
5.532883,0.046435,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1375]"
5.532931,0.046946,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1385]"
5.532979,0.047075,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1395]"
5.533028,0.053090,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1404]"
5.533101,10.016503,,,,,,,,,,4.000000,399.340967,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.543227,10.019735,,,,,,,,,,4.000000,399.212154,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
5.583250,0.255404,1024,1,1,512,1,1,26,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicSortShared1(unsigned int*, unsigned int*, unsigned int*, unsigned int*) [1414]"
5.583507,0.046850,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1424]"
5.583556,0.053187,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1433]"
5.583610,0.047266,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1443]"
5.583659,0.047075,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1453]"
5.583707,0.052674,1024,1,1,512,1,1,20,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1462]"
5.583761,0.046659,2048,1,1,256,1,1,18,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bitonicMergeGlobal(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int, unsigned int) [1472]"
