==15401== NVPROF is profiling process 15401, command: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin -d 0
==15401== Profiling application: ./mri-q -i ../../datasets/mri-q/small/input/32_32_32_dataset.bin -d 0
==15401== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
600.832888,1.760000,,,,,,,,,,12.000000,6.502325,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
600.871706,1.728000,,,,,,,,,,12.000000,6.622738,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
600.898875,1.152000,6,1,1,512,1,1,10,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","ComputePhiMag_GPU(float*, float*, float*, int) [1174]"
600.909724,18.433000,,,,,,,,,,12.000000,0.620848,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
601.728166,336.049000,,,,,,,,,,128.000000,0.363252,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
602.081944,336.274000,,,,,,,,,,128.000000,0.363008,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
602.435275,341.137000,,,,,,,,,,128.000000,0.357834,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
602.779996,2.849000,,,,,,,,,,128.000000,42.846723,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
602.784573,2.368000,,,,,,,,,,128.000000,51.549963,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
602.838303,3.105000,,,,,,,,,,16.000000,4.914264,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
602.842720,356.370000,128,1,1,256,1,1,28,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*) [1210]"
603.248693,3.232000,,,,,,,,,,16.000000,4.721160,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
603.253109,355.218000,128,1,1,256,1,1,28,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*) [1220]"
603.656778,3.136000,,,,,,,,,,16.000000,4.865685,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
603.661322,355.730000,128,1,1,256,1,1,28,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","ComputeQ_GPU(int, int, float*, float*, float*, float*, float*) [1230]"
604.041374,302.255000,,,,,,,,,,128.000000,0.403865,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
604.411793,303.088000,,,,,,,,,,128.000000,0.402755,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
