==10129== NVPROF is profiling process 10129, command: ./concurrentKernels 0
==10129== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10129== Profiling application: ./concurrentKernels 0
==10129== Profiling result:
==10129== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"inst_per_warp","Instructions per warp",79.000000,79.000000,79.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",56.091772%,56.091772%,56.091772%
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",54.272152%,54.272152%,54.272152%
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.025316,0.025316,0.025316
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.545455,1.545455,1.545455
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"shared_store_transactions","Shared Store Transactions",12,12,12
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"shared_load_transactions","Shared Load Transactions",17,17,17
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"gld_transactions","Global Load Transactions",2,2,2
"GeForce GTX 1080 Ti (0)","sum(long*, int)",1,"gst_transactions","Global Store Transactions",1,1,1
