==3771== NVPROF is profiling process 3771, command: ./convolutionTexture 0
==3771== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3771== Profiling application: ./convolutionTexture 0
==3771== Profiling result:
==3771== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_per_warp","Instructions per warp",95.000000,95.000000,95.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.947368%,98.947368%,98.947368%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.000263,0.000360,0.000319
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gst_transactions","Global Store Transactions",589824,589824,589824
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_read_transactions","L2 Read Transactions",1176732,1177060,1176822
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_write_transactions","L2 Write Transactions",589837,589837,589837
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gst_requested_throughput","Requested Global Store Throughput",76.008912GB/s,76.135000GB/s,76.076016GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gst_throughput","Global Store Throughput",76.008912GB/s,76.135000GB/s,76.076016GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"tex_cache_hit_rate","Unified Cache Hit Rate",95.004778%,95.004778%,95.004778%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",49.869452%,49.869452%,49.869452%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",50.000000%,50.000000%,50.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"tex_cache_throughput","Unified Cache Throughput",2584.303004GB/s,2588.590010GB/s,2586.610615GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",151.621944GB/s,151.873464GB/s,151.756220GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",76.008912GB/s,76.135000GB/s,76.076016GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_read_throughput","L2 Throughput (Reads)",151.642047GB/s,151.893601GB/s,151.787885GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_write_throughput","L2 Throughput (Writes)",76.010587GB/s,76.136678GB/s,76.077878GB/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_write_throughput","System Memory Write Throughput",675.634766KB/s,676.754883KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gld_efficiency","Global Memory Load Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"tex_cache_transactions","Unified Cache Transactions",20054016,20054016,20054016
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_sp","Floating Point Operations(Single Precision)",250085376,250085376,250085376
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",89653248,89653248,89653248
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",80216064,80216064,80216064
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_executed","Instructions Executed",14008320,14008320,14008320
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_issued","Instructions Issued",14012026,14013265,14012665
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.893076%,0.968758%,0.946392%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",21.770260%,21.895985%,21.831631%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_memory_dependency","Issue Stall Reasons (Data Request)",7.103063%,7.187415%,7.151834%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_texture","Issue Stall Reasons (Texture)",23.381617%,23.504440%,23.453558%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_other","Issue Stall Reasons (Other)",38.216749%,38.478300%,38.376565%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.073128%,0.119367%,0.099847%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.114303%,0.116757%,0.115821%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_fp_32","FP Instructions(Single)",169869312,169869312,169869312
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_integer","Integer Instructions",99090432,99090432,99090432
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_bit_convert","Bit-Convert Instructions",9437184,9437184,9437184
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_control","Control-Flow Instructions",4718592,4718592,4718592
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_compute_ld_st","Load/Store Instructions",84934656,84934656,84934656
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_misc","Misc Instructions",75497472,75497472,75497472
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"issue_slots","Issue Slots",12684922,12686161,12685561
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"cf_issued","Issued Control-Flow Instructions",294912,294912,294912
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"cf_executed","Executed Control-Flow Instructions",294912,294912,294912
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"ldst_issued","Issued Load/Store Instructions",21233664,21233664,21233664
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"ldst_executed","Executed Load/Store Instructions",3244032,3244032,3244032
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",1176576,1176576,1176576
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",7.423674%,7.529632%,7.481948%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.528146%,0.552676%,0.542403%
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",589824,589824,589824
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 Ti (0)","convolutionRowsKernel(float*, int, int)",10,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
