==25948== NVPROF is profiling process 25948, command: ./2DConvolution.exe 0
==25948== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25948== Profiling application: ./2DConvolution.exe 0
==25948== Profiling result:
==25948== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"inst_per_warp","Instructions per warp",52.981934,52.981934,52.981934
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",99.965917%,99.965917%,99.965917%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.080324%,98.080324%,98.080324%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000119,0.000119,0.000119
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.328125,9.328125,9.328125
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gld_transactions","Global Load Transactions",43994124,43994124,43994124
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gst_transactions","Global Store Transactions",2096128,2096128,2096128
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_read_transactions","L2 Read Transactions",21984924,21984924,21984924
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_write_transactions","L2 Write Transactions",2096141,2096141,2096141
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"global_hit_rate","Global Hit Rate",50.027917%,50.027917%,50.027917%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",942.453037GB/s,942.453037GB/s,942.452811GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",104.717004GB/s,104.717004GB/s,104.716979GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gld_throughput","Global Load Throughput",1098.837933GB/s,1098.837933GB/s,1098.837703GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gst_throughput","Global Store Throughput",104.768160GB/s,104.768160GB/s,104.767270GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",50.025489%,50.025489%,50.025489%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",90.460892%,90.460892%,90.460892%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",942.913444GB/s,942.913444GB/s,942.912884GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",1098.837933GB/s,1098.837933GB/s,1098.837703GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",104.768160GB/s,104.768160GB/s,104.767270GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_read_throughput","L2 Throughput (Reads)",1098.845130GB/s,1098.845130GB/s,1098.844223GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"l2_write_throughput","L2 Throughput (Writes)",104.768810GB/s,104.768810GB/s,104.768202GB/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"sysmem_write_throughput","System Memory Write Throughput",262.047852KB/s,262.047852KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gld_efficiency","Global Memory Load Efficiency",85.768156%,85.768156%,85.768156%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"gst_efficiency","Global Memory Store Efficiency",99.951172%,99.951172%,99.951172%
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"tex_cache_transactions","Unified Cache Transactions",18865152,18865152,18865152
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_sp","Floating Point Operations(Single Precision)",284934212,284934212,284934212
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",134086688,134086688,134086688
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",16760836,16760836,16760836
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","Convolution2D_kernel(float*, float*)",1,"inst_executed","Instructions Executed",27777792,27777792,27777792
