==21485== NVPROF is profiling process 21485, command: ./gaussian -s 16 -d 0
==21485== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21485== Profiling application: ./gaussian -s 16 -d 0
==21485== Profiling result:
==21485== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"inst_per_warp","Instructions per warp",16.000000,54.250000,32.558333
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"warp_execution_efficiency","Warp Execution Efficiency",35.113065%,44.750864%,40.677540%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",34.202261%,43.457031%,39.470632%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"inst_replay_overhead","Instruction Replay Overhead",0.055300,0.187500,0.111338
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gld_transactions_per_request","Global Load Transactions Per Request",1.500000,4.950000,4.001852
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,6.500000,3.751111
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gld_transactions","Global Load Transactions",9,297,133
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gst_transactions","Global Store Transactions",2,130,44
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_read_transactions","L2 Read Transactions",134,472,283
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_write_transactions","L2 Write Transactions",15,143,57
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"global_hit_rate","Global Hit Rate",27.272727%,46.283784%,39.680690%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gld_requested_throughput","Requested Global Load Throughput",15.055539MB/s,711.123893MB/s,297.546387MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gst_requested_throughput","Requested Global Store Throughput",5.645826MB/s,455.619579MB/s,182.151794MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gld_throughput","Global Load Throughput",90.333235MB/s,2.407549GB/s,1.116656GB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"gst_throughput","Global Store Throughput",30.111078MB/s,1.867133GB/s,661.849976MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"tex_cache_hit_rate","Unified Cache Hit Rate",28.260870%,43.478261%,35.864324%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"tex_cache_throughput","Unified Cache Throughput",133.588620MB/s,1.551157GB/s,742.912292MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",90.333235MB/s,2.407549GB/s,1.116656GB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",30.111078MB/s,1.867133GB/s,661.849976MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_read_throughput","L2 Throughput (Reads)",1.972104GB/s,6.588616GB/s,4.116446GB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"l2_write_throughput","L2 Throughput (Writes)",225.833089MB/s,2.053847GB/s,855.445862MB/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","Fan2(float*, float*, float*, int, int, int)",15,"sysmem_write_throughput","System Memory Write Throughput",71.469737MB/s,75.352044MB/s,73.432922MB/s
