==13311== NVPROF is profiling process 13311, command: ./hybridsort r 0
==13311== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13311== Profiling application: ./hybridsort r 0
==13311== Profiling result:
==13311== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"inst_per_warp","Instructions per warp",36.997712,36.997712,36.997712
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"warp_execution_efficiency","Warp Execution Efficiency",99.998130%,99.998135%,99.998132%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.295584%,97.295584%,97.295584%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"inst_replay_overhead","Instruction Replay Overhead",0.003620,0.004432,0.004229
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gst_transactions_per_request","Global Store Transactions Per Request",15.999573,15.999573,15.999573
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gst_transactions","Global Store Transactions",524482,524482,524482
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_read_transactions","L2 Read Transactions",524584,524776,524636
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_write_transactions","L2 Write Transactions",524495,524495,524495
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gld_requested_throughput","Requested Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gst_requested_throughput","Requested Global Store Throughput",164.230129GB/s,165.114896GB/s,164.713711GB/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"gst_throughput","Global Store Throughput",164.230285GB/s,165.115053GB/s,164.713711GB/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"tex_cache_hit_rate","Unified Cache Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"tex_cache_throughput","Unified Cache Throughput",164.230285GB/s,165.115053GB/s,164.713711GB/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",164.230285GB/s,165.115053GB/s,164.713711GB/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",164.230285GB/s,165.115053GB/s,164.713711GB/s
"GeForce GTX 1080 Ti (0)","mergeSortFirst(float4*, int)",4,"l2_read_throughput","L2 Throughput (Reads)",164.264730GB/s,165.147165GB/s,164.762139GB/s
