==31958== NVPROF is profiling process 31958, command: ./mst ../../inputs/rmat12.sym.gr 0
==31958== Profiling application: ./mst ../../inputs/rmat12.sym.gr 0
==31958== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
582.279624,0.642000,,,,,,,,,,0.546875,0.812369,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
586.378064,607.488000,,,,,,,,,,231.722656,0.363773,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.005713,609.504000,,,,,,,,,,231.722656,0.362570,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.664916,2.368000,,,,,,,,,,16.003906,6.445319,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.714582,2.337000,,,,,,,,,,16.000000,6.529221,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.764057,2.336000,,,,,,,,,,16.000000,6.532016,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.813916,2.368000,,,,,,,,,,16.000000,6.443745,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.822396,0.896000,,,,,,,,,,0.003906,0.004158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.829276,0.897000,,,,,,,,,,0.003906,0.004153,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.863230,1.536000,4,1,1,1024,1,1,8,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dinitcs(unsigned int, unsigned int*, unsigned int*) [1186]"
587.875295,0.896000,,,,,,,,,,0.003906,0.004158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
587.885119,0.896000,,,,,,,,,,0.003906,0.004158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.331031,0.896000,,,,,,,,,,0.000977,0.001039,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.341656,0.864000,,,,,,,,,,0.003906,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.361081,1.984000,4,1,1,1024,1,1,17,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dinit(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int) [1213]"
588.426204,170.121000,4,1,1,1024,1,1,48,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindelemin(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int) [1227]"
588.598181,169.705000,4,1,1,1024,1,1,38,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindelemin2(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int) [1239]"
588.769742,114.950000,4,1,1,1024,1,1,38,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","verify_min_elem(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int) [1251]"
588.895861,0.896000,,,,,,,,,,0.000977,0.001039,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.906390,9.408000,140,1,1,384,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindcompmintwo(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int, GlobalBarrier, bool*, unsigned int*) [1269]"
588.926199,0.608000,,,,,,,,,,0.000977,0.001532,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
588.937335,0.928000,,,,,,,,,,0.000977,0.001004,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.946936,9.664000,140,1,1,384,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindcompmintwo(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int, GlobalBarrier, bool*, unsigned int*) [1288]"
588.965465,0.512000,,,,,,,,,,0.000977,0.001819,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
588.976057,0.896000,,,,,,,,,,0.000977,0.001039,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
588.985306,9.536000,140,1,1,384,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindcompmintwo(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int, GlobalBarrier, bool*, unsigned int*) [1307]"
589.003579,0.384000,,,,,,,,,,0.000977,0.002425,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
589.014363,0.896000,,,,,,,,,,0.000977,0.001039,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
589.023644,8.736000,140,1,1,384,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindcompmintwo(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int, GlobalBarrier, bool*, unsigned int*) [1326]"
589.041341,0.384000,,,,,,,,,,0.000977,0.002425,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
589.051485,0.896000,,,,,,,,,,0.000977,0.001039,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
589.060606,8.288000,140,1,1,384,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","dfindcompmintwo(unsigned int*, Graph, ComponentSpace, unsigned int*, unsigned int*, unsigned int*, unsigned int*, bool*, unsigned int*, unsigned int, GlobalBarrier, bool*, unsigned int*) [1345]"
589.078047,0.384000,,,,,,,,,,0.000977,0.002425,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
589.087103,1.024000,,,,,,,,,,0.003906,0.003638,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
