==32530== NVPROF is profiling process 32530, command: ./3DConvolution.exe 0
==32530== Profiling application: ./3DConvolution.exe 0
==32530== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,MB/s,,,,
0.820437,172.229025,,,,,,,,,,64.000000,371.598225,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.992767,172.292708,,,,,,,,,,64.000000,371.460875,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.165064,0.005088,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1166]"
1.165071,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1171]"
1.165076,0.003776,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1176]"
1.165082,0.003808,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1181]"
1.165087,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1186]"
1.165092,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1191]"
1.165098,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1196]"
1.165103,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1201]"
1.165109,0.003808,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1206]"
1.165114,0.003841,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1211]"
1.165120,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1216]"
1.165125,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1221]"
1.165131,0.004128,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1226]"
1.165136,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1231]"
1.165142,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1236]"
1.165147,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1241]"
1.165153,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1246]"
1.165158,0.003776,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1251]"
1.165164,0.004160,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1256]"
1.165169,0.003808,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1261]"
1.165174,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1266]"
1.165180,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1271]"
1.165185,0.004128,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1276]"
1.165191,0.004001,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1281]"
1.165196,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1286]"
1.165202,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1291]"
1.165208,0.003808,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1296]"
1.165213,0.003745,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1301]"
1.165218,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1306]"
1.165223,0.004032,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1311]"
1.165229,0.004224,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1316]"
1.165235,0.004032,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1321]"
1.165240,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1326]"
1.165246,0.004160,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1331]"
1.165252,0.003905,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1336]"
1.165257,0.004128,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1341]"
1.165263,0.004032,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1346]"
1.165268,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1351]"
1.165274,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1356]"
1.165279,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1361]"
1.165285,0.004096,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1366]"
1.165291,0.003841,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1371]"
1.165296,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1376]"
1.165302,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1381]"
1.165307,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1386]"
1.165313,0.003873,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1391]"
1.165318,0.004096,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1396]"
1.165324,0.003840,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1401]"
1.165329,0.004129,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1406]"
1.165335,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1411]"
1.165340,0.004192,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1416]"
1.165346,0.004160,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1421]"
1.165352,0.003841,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1426]"
1.165357,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1431]"
1.165362,0.003840,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1436]"
1.165368,0.003840,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1441]"
1.165373,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1446]"
1.165379,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1451]"
1.165384,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1456]"
1.165390,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1461]"
1.165395,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1466]"
1.165400,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1471]"
1.165406,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1476]"
1.165411,0.003841,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1481]"
1.165417,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1486]"
1.165422,0.003808,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1491]"
1.165427,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1496]"
1.165433,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1501]"
1.165438,0.004000,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1506]"
1.165443,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1511]"
1.165449,0.003777,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1516]"
1.165454,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1521]"
1.165460,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1526]"
1.165465,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1531]"
1.165471,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1536]"
1.165476,0.004032,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1541]"
1.165482,0.004128,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1546]"
1.165487,0.003969,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1551]"
1.165493,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1556]"
1.165498,0.004096,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1561]"
1.165504,0.004064,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1566]"
1.165510,0.003937,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1571]"
1.165515,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1576]"
1.165521,0.003872,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1581]"
1.165526,0.003968,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1586]"
1.165531,0.003936,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1591]"
1.165537,0.004288,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1596]"
1.165543,0.003904,8,32,1,32,8,1,19,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","convolution3D_kernel(float*, float*, int) [1601]"
