==28526== NVPROF is profiling process 28526, command: ./FFT -d 0
==28526== Profiling application: ./FFT -d 0
==28526== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
618.009414,2.692109,,,,,,,,,,1.000000,371.455984,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
620.721364,0.000896,,,,,,,,,,0.000001,1.064368,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
620.749622,0.007392,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void FFT512_device<float2, float>(float2*) [1175]"
620.779223,0.007425,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void IFFT512_device<float2, float>(float2*) [1180]"
620.802488,2.494691,,,,,,,,,,1.000000,400.851247,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
623.329853,0.002784,128,1,1,64,1,1,38,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void chk512_device<float2>(float2 const *, int, char*) [1189]"
623.335165,0.000576,,,,,,,,,,0.000001,1.655684,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
623.354910,0.007073,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void FFT512_device<float2, float>(float2*) [1194]"
623.379711,0.007137,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void IFFT512_device<float2, float>(float2*) [1199]"
623.403553,0.002592,128,1,1,64,1,1,38,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void chk512_device<float2>(float2 const *, int, char*) [1206]"
623.408289,0.000512,,,,,,,,,,0.000001,1.862645,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
623.425858,0.007104,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void FFT512_device<float2, float>(float2*) [1211]"
623.448675,0.007136,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void IFFT512_device<float2, float>(float2*) [1216]"
623.471556,0.002656,128,1,1,64,1,1,38,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void chk512_device<float2>(float2 const *, int, char*) [1223]"
623.476389,0.000384,,,,,,,,,,0.000001,2.483526,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
623.493413,0.007105,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void FFT512_device<float2, float>(float2*) [1228]"
623.516231,0.007232,256,1,1,64,1,1,32,2.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void IFFT512_device<float2, float>(float2*) [1233]"
