timestamp, utilization.gpu [%]
2018/02/26 22:25:16.735, 0 %
2018/02/26 22:25:16.737, 0 %
2018/02/26 22:25:16.738, 0 %
2018/02/26 22:25:16.739, 0 %
2018/02/26 22:25:16.741, 0 %
2018/02/26 22:25:16.742, 0 %
2018/02/26 22:25:16.743, 0 %
2018/02/26 22:25:16.746, 0 %
2018/02/26 22:25:16.749, 0 %
2018/02/26 22:25:16.749, 0 %
2018/02/26 22:25:16.751, 0 %
2018/02/26 22:25:16.752, 0 %
2018/02/26 22:25:17.753, 0 %
2018/02/26 22:25:17.753, 0 %
2018/02/26 22:25:17.754, 0 %
2018/02/26 22:25:17.754, 0 %
2018/02/26 22:25:17.754, 0 %
2018/02/26 22:25:17.754, 0 %
2018/02/26 22:25:17.755, 0 %
2018/02/26 22:25:17.755, 0 %
2018/02/26 22:25:17.757, 0 %
2018/02/26 22:25:17.759, 0 %
2018/02/26 22:25:17.760, 0 %
2018/02/26 22:25:17.760, 0 %
2018/02/26 22:25:18.760, 0 %
2018/02/26 22:25:18.762, 0 %
2018/02/26 22:25:18.763, 0 %
2018/02/26 22:25:18.763, 0 %
2018/02/26 22:25:18.763, 0 %
2018/02/26 22:25:18.765, 0 %
2018/02/26 22:25:18.766, 0 %
2018/02/26 22:25:18.766, 0 %
2018/02/26 22:25:18.766, 0 %
2018/02/26 22:25:18.766, 0 %
2018/02/26 22:25:18.766, 0 %
2018/02/26 22:25:18.767, 0 %
2018/02/26 22:25:19.767, 0 %
2018/02/26 22:25:19.768, 0 %
2018/02/26 22:25:19.768, 0 %
2018/02/26 22:25:19.768, 0 %
2018/02/26 22:25:19.768, 0 %
2018/02/26 22:25:19.769, 0 %
2018/02/26 22:25:19.769, 0 %
2018/02/26 22:25:19.769, 0 %
2018/02/26 22:25:19.769, 0 %
2018/02/26 22:25:19.769, 0 %
2018/02/26 22:25:19.770, 0 %
2018/02/26 22:25:19.772, 0 %
2018/02/26 22:25:20.774, 0 %
2018/02/26 22:25:20.774, 0 %
2018/02/26 22:25:20.775, 0 %
2018/02/26 22:25:20.777, 0 %
2018/02/26 22:25:20.778, 0 %
2018/02/26 22:25:20.781, 0 %
2018/02/26 22:25:20.784, 0 %
2018/02/26 22:25:20.798, 0 %
2018/02/26 22:25:20.799, 0 %
2018/02/26 22:25:20.800, 0 %
2018/02/26 22:25:20.801, 0 %
2018/02/26 22:25:20.801, 0 %
2018/02/26 22:25:21.802, 0 %
2018/02/26 22:25:21.804, 12 %
2018/02/26 22:25:21.810, 0 %
2018/02/26 22:25:21.811, 0 %
2018/02/26 22:25:21.812, 0 %
2018/02/26 22:25:21.813, 0 %
2018/02/26 22:25:21.813, 0 %
2018/02/26 22:25:21.814, 0 %
2018/02/26 22:25:21.814, 0 %
2018/02/26 22:25:21.814, 0 %
2018/02/26 22:25:21.815, 0 %
2018/02/26 22:25:21.815, 0 %
2018/02/26 22:25:22.816, 0 %
2018/02/26 22:25:22.817, 0 %
2018/02/26 22:25:22.817, 0 %
2018/02/26 22:25:22.819, 0 %
2018/02/26 22:25:22.820, 0 %
2018/02/26 22:25:22.820, 0 %
2018/02/26 22:25:22.820, 0 %
2018/02/26 22:25:22.821, 0 %
2018/02/26 22:25:22.823, 0 %
2018/02/26 22:25:22.826, 0 %
2018/02/26 22:25:22.828, 0 %
2018/02/26 22:25:22.839, 0 %
2018/02/26 22:25:23.840, 0 %
2018/02/26 22:25:23.840, 0 %
2018/02/26 22:25:23.840, 19 %
2018/02/26 22:25:23.840, 32 %
2018/02/26 22:25:23.841, 0 %
2018/02/26 22:25:23.841, 0 %
2018/02/26 22:25:23.842, 0 %
2018/02/26 22:25:23.842, 0 %
2018/02/26 22:25:23.842, 0 %
2018/02/26 22:25:23.842, 0 %
2018/02/26 22:25:23.843, 0 %
2018/02/26 22:25:23.843, 0 %
2018/02/26 22:25:24.844, 0 %
2018/02/26 22:25:24.844, 0 %
2018/02/26 22:25:24.845, 0 %
2018/02/26 22:25:24.845, 0 %
2018/02/26 22:25:24.846, 0 %
2018/02/26 22:25:24.846, 0 %
2018/02/26 22:25:24.847, 0 %
2018/02/26 22:25:24.847, 0 %
2018/02/26 22:25:24.847, 0 %
2018/02/26 22:25:24.848, 0 %
2018/02/26 22:25:24.848, 0 %
2018/02/26 22:25:24.848, 0 %
2018/02/26 22:25:25.849, 0 %
2018/02/26 22:25:25.849, 0 %
2018/02/26 22:25:25.849, 0 %
2018/02/26 22:25:25.849, 0 %
2018/02/26 22:25:25.849, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.850, 0 %
2018/02/26 22:25:25.851, 0 %
2018/02/26 22:25:26.851, 0 %
2018/02/26 22:25:26.851, 0 %
2018/02/26 22:25:26.851, 0 %
2018/02/26 22:25:26.851, 0 %
2018/02/26 22:25:26.851, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:26.852, 0 %
2018/02/26 22:25:27.853, 0 %
2018/02/26 22:25:27.854, 0 %
2018/02/26 22:25:27.854, 0 %
2018/02/26 22:25:27.856, 0 %
2018/02/26 22:25:27.857, 0 %
2018/02/26 22:25:27.858, 0 %
2018/02/26 22:25:27.859, 0 %
2018/02/26 22:25:27.860, 0 %
2018/02/26 22:25:27.861, 0 %
2018/02/26 22:25:27.863, 0 %
2018/02/26 22:25:27.863, 0 %
2018/02/26 22:25:27.865, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.866, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:28.867, 0 %
2018/02/26 22:25:29.868, 95 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.868, 0 %
2018/02/26 22:25:29.869, 0 %
2018/02/26 22:25:29.869, 0 %
2018/02/26 22:25:29.869, 0 %
2018/02/26 22:25:29.869, 0 %
2018/02/26 22:25:29.869, 0 %
2018/02/26 22:25:30.869, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.870, 0 %
2018/02/26 22:25:30.871, 0 %
2018/02/26 22:25:30.871, 0 %
2018/02/26 22:25:30.871, 0 %
2018/02/26 22:25:30.871, 0 %
2018/02/26 22:25:31.871, 0 %
2018/02/26 22:25:31.871, 0 %
2018/02/26 22:25:31.871, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.872, 0 %
2018/02/26 22:25:31.873, 0 %
2018/02/26 22:25:31.873, 0 %
2018/02/26 22:25:32.873, 100 %
2018/02/26 22:25:32.873, 0 %
2018/02/26 22:25:32.873, 0 %
2018/02/26 22:25:32.873, 0 %
2018/02/26 22:25:32.874, 0 %
2018/02/26 22:25:32.874, 0 %
2018/02/26 22:25:32.874, 0 %
2018/02/26 22:25:32.875, 0 %
2018/02/26 22:25:32.875, 0 %
2018/02/26 22:25:32.875, 0 %
2018/02/26 22:25:32.876, 0 %
2018/02/26 22:25:32.876, 0 %
2018/02/26 22:25:33.876, 0 %
2018/02/26 22:25:33.876, 0 %
2018/02/26 22:25:33.876, 0 %
2018/02/26 22:25:33.877, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.878, 0 %
2018/02/26 22:25:33.879, 0 %
2018/02/26 22:25:34.879, 0 %
2018/02/26 22:25:34.879, 0 %
2018/02/26 22:25:34.879, 0 %
2018/02/26 22:25:34.880, 0 %
2018/02/26 22:25:34.880, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:34.881, 0 %
2018/02/26 22:25:35.882, 0 %
2018/02/26 22:25:35.882, 0 %
2018/02/26 22:25:35.882, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.883, 0 %
2018/02/26 22:25:35.884, 0 %
2018/02/26 22:25:35.884, 0 %
2018/02/26 22:25:36.884, 0 %
2018/02/26 22:25:36.884, 0 %
2018/02/26 22:25:36.884, 0 %
2018/02/26 22:25:36.884, 0 %
2018/02/26 22:25:36.885, 0 %
2018/02/26 22:25:36.885, 0 %
2018/02/26 22:25:36.885, 0 %
2018/02/26 22:25:36.885, 0 %
2018/02/26 22:25:36.886, 0 %
2018/02/26 22:25:36.886, 0 %
2018/02/26 22:25:36.886, 0 %
2018/02/26 22:25:36.886, 0 %
2018/02/26 22:25:37.886, 0 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.887, 99 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.887, 0 %
2018/02/26 22:25:37.888, 0 %
2018/02/26 22:25:37.888, 0 %
2018/02/26 22:25:37.888, 0 %
2018/02/26 22:25:37.888, 0 %
2018/02/26 22:25:38.889, 0 %
2018/02/26 22:25:38.889, 0 %
2018/02/26 22:25:38.889, 0 %
2018/02/26 22:25:38.889, 0 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.890, 60 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.890, 0 %
2018/02/26 22:25:38.891, 0 %
2018/02/26 22:25:39.891, 0 %
2018/02/26 22:25:39.891, 0 %
2018/02/26 22:25:39.891, 0 %
2018/02/26 22:25:39.891, 0 %
2018/02/26 22:25:39.891, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:39.892, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.893, 0 %
2018/02/26 22:25:40.894, 0 %
2018/02/26 22:25:40.894, 0 %
2018/02/26 22:25:40.894, 47 %
2018/02/26 22:25:40.894, 0 %
2018/02/26 22:25:40.894, 0 %
2018/02/26 22:25:40.894, 0 %
2018/02/26 22:25:41.895, 0 %
2018/02/26 22:25:41.925, 0 %
2018/02/26 22:25:41.928, 0 %
2018/02/26 22:25:41.929, 0 %
2018/02/26 22:25:41.930, 0 %
2018/02/26 22:25:41.930, 0 %
2018/02/26 22:25:41.930, 0 %
2018/02/26 22:25:41.931, 0 %
2018/02/26 22:25:41.931, 0 %
2018/02/26 22:25:41.931, 55 %
2018/02/26 22:25:41.932, 0 %
2018/02/26 22:25:41.932, 0 %
2018/02/26 22:25:42.932, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.933, 0 %
2018/02/26 22:25:42.934, 0 %
2018/02/26 22:25:42.934, 0 %
2018/02/26 22:25:42.934, 10 %
2018/02/26 22:25:42.934, 0 %
2018/02/26 22:25:43.934, 0 %
2018/02/26 22:25:43.934, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.935, 0 %
2018/02/26 22:25:43.936, 0 %
2018/02/26 22:25:43.936, 0 %
2018/02/26 22:25:43.936, 94 %
2018/02/26 22:25:44.936, 87 %
2018/02/26 22:25:44.936, 0 %
