==15550== NVPROF is profiling process 15550, command: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100 -d 0
==15550== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15550== Profiling application: ./stencil -i ../../datasets/stencil/small/input/128x128x32.bin 128 128 32 100 -d 0
==15550== Profiling result:
==15550== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_per_warp","Instructions per warp",6942.703125,6942.703125,6942.703125
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"warp_execution_efficiency","Warp Execution Efficiency",98.767394%,98.767394%,98.767394%
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",69.316759%,69.316759%,69.316759%
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"inst_replay_overhead","Instruction Replay Overhead",0.000432,0.000432,0.000432
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.918206,0.918206,0.918206
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gld_transactions_per_request","Global Load Transactions Per Request",6.313790,6.313790,6.313790
"GeForce GTX 1080 Ti (0)","block2D_hybrid_coarsen_x(float, float, float*, float*, int, int, int)",100,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
