==3981== NVPROF is profiling process 3981, command: ./fdtd2d.exe 0
==3981== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3981== Profiling application: ./fdtd2d.exe 0
==3981== Profiling result:
==3981== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_per_warp","Instructions per warp",34.996582,34.996582,34.996582
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.286551%,94.286551%,94.286551%
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"inst_replay_overhead","Instruction Replay Overhead",0.000887,0.001123,0.001006
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions_per_request","Global Load Transactions Per Request",7.999349,7.999349,7.999349
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gld_transactions","Global Load Transactions",3144448,3144448,3144448
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"gst_transactions","Global Store Transactions",524288,524288,524288
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"l2_read_transactions","L2 Read Transactions",1572256,1572744,1572355
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"l2_write_transactions","L2 Write Transactions",524301,524301,524301
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"global_hit_rate","Global Hit Rate",50.002035%,50.002035%,50.002035%
"GeForce GTX 1080 Ti (0)","fdtd_step1_kernel(float*, float*, float*, float*, int)",500,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
