==9639== NVPROF is profiling process 9639, command: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==9639== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9639== Profiling application: ./b+tree.out file ../data/b+tree/mil.txt command ../data/b+tree/command.txt 0
==9639== Profiling result:
==9639== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","findRangeK",1,"inst_per_warp","Instructions per warp",215.823354,215.823354,215.823354
"GeForce GTX 1080 Ti (0)","findRangeK",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","findRangeK",1,"warp_execution_efficiency","Warp Execution Efficiency",96.934924%,96.934924%,96.934924%
"GeForce GTX 1080 Ti (0)","findRangeK",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",95.525987%,95.525987%,95.525987%
"GeForce GTX 1080 Ti (0)","findRangeK",1,"inst_replay_overhead","Instruction Replay Overhead",0.000182,0.000182,0.000182
"GeForce GTX 1080 Ti (0)","findRangeK",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","findRangeK",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","findRangeK",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","findRangeK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","findRangeK",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.763027,5.763027,5.763027
"GeForce GTX 1080 Ti (0)","findRangeK",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","findRangeK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","findRangeK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","findRangeK",1,"local_load_transactions","Local Load Transactions",0,0,0
