==10161== NVPROF is profiling process 10161, command: ./heartwall ../data/heartwall/test.avi 20 0
==10161== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10161== Profiling application: ./heartwall ../data/heartwall/test.avi 20 0
==10161== Profiling result:
==10161== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"inst_per_warp","Instructions per warp",989.375000,724549.580882,687538.580147
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"branch_efficiency","Branch Efficiency",78.336263%,99.242424%,79.381924%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"warp_execution_efficiency","Warp Execution Efficiency",80.170556%,98.802906%,81.103391%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",76.980859%,91.371295%,77.701240%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"inst_replay_overhead","Instruction Replay Overhead",0.000018,0.005643,0.000299
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,1.014372,0.963653
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,1.000000,0.950000
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gld_transactions_per_request","Global Load Transactions Per Request",5.926629,6.579838,6.547102
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gst_transactions_per_request","Global Store Transactions Per Request",4.736695,7.222339,7.097244
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_store_transactions","Shared Store Transactions",0,5151,4893
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_load_transactions","Shared Load Transactions",0,37182724,35323543
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gld_transactions","Global Load Transactions",74960,266331543,252914182
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gst_transactions","Global Store Transactions",20292,6692367,6339857
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_read_transactions","L2 Read Transactions",31937,132781743,126097391
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_write_transactions","L2 Write Transactions",20305,6692380,6339870
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"global_hit_rate","Global Hit Rate",50.144976%,58.963447%,50.586032%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gld_requested_throughput","Requested Global Load Throughput",59.434911GB/s,447.615619GB/s,446.237624GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gst_requested_throughput","Requested Global Store Throughput",17.811683GB/s,55.912206GB/s,17.829239GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gld_throughput","Global Load Throughput",103.646042GB/s,659.264488GB/s,657.237135GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gst_throughput","Global Store Throughput",33.016471GB/s,68.371818GB/s,33.045188GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"tex_cache_hit_rate","Unified Cache Hit Rate",49.513236%,55.388850%,49.807168%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",90.822795%,97.030928%,96.716050%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",47.885866%,71.540772%,70.277321%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"tex_cache_throughput","Unified Cache Throughput",168.402496GB/s,701.123668GB/s,698.975287GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",103.646042GB/s,659.264488GB/s,657.237135GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",33.016471GB/s,68.371818GB/s,33.045188GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_read_throughput","L2 Throughput (Reads)",107.608453GB/s,659.303471GB/s,657.277182GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"l2_write_throughput","L2 Throughput (Writes)",33.016535GB/s,68.415620GB/s,33.045188GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"sysmem_write_throughput","System Memory Write Throughput",25.911133KB/s,17.251315MB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,738.786326GB/s,736.489892GB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,104.801905MB/s,102.996826MB/s
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gld_efficiency","Global Memory Load Efficiency",57.344121%,67.896225%,67.368584%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"gst_efficiency","Global Memory Store Efficiency",53.947871%,81.776685%,55.343310%
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"tex_cache_transactions","Unified Cache Transactions",49980,141216858,134097191
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_dp","Floating Point Operations(Double Precision)",0,278358,13917
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,13056,652
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,132651,6632
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_sp","Floating Point Operations(Single Precision)",0,1886553519,1792106581
"GeForce GTX 1080 Ti (0)","kernel(void)",20,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,99794444,94804497
