==12355== NVPROF is profiling process 12355, command: ./hotspot 512 2 2 ../data/hotspot/temp_512 ../data/hotspot/power_512 output.out 0
==12355== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12355== Profiling application: ./hotspot 512 2 2 ../data/hotspot/temp_512 ../data/hotspot/power_512 output.out 0
==12355== Profiling result:
==12355== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_per_warp","Instructions per warp",253.139535,253.139535,253.139535
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"warp_execution_efficiency","Warp Execution Efficiency",90.878327%,90.878327%,90.878327%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",87.567498%,87.567498%,87.567498%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"inst_replay_overhead","Instruction Replay Overhead",0.002235,0.002235,0.002235
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.999042,0.999042,0.999042
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.997531,0.997531,0.997531
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.860465,9.860465,9.860465
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.883721,4.883721,4.883721
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_transactions","Shared Store Transactions",69488,69488,69488
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_transactions","Shared Load Transactions",179396,179396,179396
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_transactions","Global Load Transactions",288320,288320,288320
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_transactions","Global Store Transactions",53760,53760,53760
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_read_transactions","L2 Read Transactions",172864,172864,172864
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_write_transactions","L2 Write Transactions",53773,53773,53773
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"global_hit_rate","Global Hit Rate",40.094340%,40.094340%,40.094340%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_requested_throughput","Requested Global Load Throughput",39.507224GB/s,39.507224GB/s,39.506704GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_requested_throughput","Requested Global Store Throughput",11.198726GB/s,11.198726GB/s,11.198223GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_throughput","Global Load Throughput",59.028441GB/s,59.028441GB/s,59.028156GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_throughput","Global Store Throughput",18.372910GB/s,18.372910GB/s,18.372200GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",39.663257%,39.663257%,39.663257%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",63.758685%,63.758685%,63.758685%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",92.524182%,92.524182%,92.524182%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_cache_throughput","Unified Cache Throughput",39.972015GB/s,39.972015GB/s,39.971434GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",59.028441GB/s,59.028441GB/s,59.028156GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",18.372910GB/s,18.372910GB/s,18.372200GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_read_throughput","L2 Throughput (Reads)",59.077654GB/s,59.077654GB/s,59.077516GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"l2_write_throughput","L2 Throughput (Writes)",18.377353GB/s,18.377353GB/s,18.376857GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"sysmem_write_throughput","System Memory Write Throughput",1.749801MB/s,1.749801MB/s,976.562500KB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_load_throughput","Shared Memory Load Throughput",245.240069GB/s,245.240069GB/s,245.239586GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"shared_store_throughput","Shared Memory Store Throughput",94.992318GB/s,94.992318GB/s,94.992109GB/s
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gld_efficiency","Global Memory Load Efficiency",66.929134%,66.929134%,66.929134%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"gst_efficiency","Global Memory Store Efficiency",60.952381%,60.952381%,60.952381%
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"tex_cache_transactions","Unified Cache Transactions",116960,116960,116960
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp","Floating Point Operations(Double Precision)",6173600,6173600,6173600
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",2469440,2469440,2469440
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",1852080,1852080,1852080
"GeForce GTX 1080 Ti (0)","calculate_temp(int, float*, float*, float*, int, int, int, int, float, float, float, float, float, float)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
