==560== NVPROF is profiling process 560, command: ./pathfinder 100000 100 20 0
==560== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==560== Profiling application: ./pathfinder 100000 100 20 0
==560== Profiling result:
==560== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"inst_per_warp","Instructions per warp",808.732181,852.000000,843.346436
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"warp_execution_efficiency","Warp Execution Efficiency",96.395503%,96.591437%,96.434689%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",91.327918%,91.500738%,91.362482%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.002519,0.002839,0.002618
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.997811,1.000000,0.999562
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.995631,1.000000,0.999126
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_transactions_per_request","Global Load Transactions Per Request",7.462203,8.428093,7.655381
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_transactions_per_request","Global Store Transactions Per Request",4.186921,4.249730,4.237168
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_store_transactions","Shared Store Transactions",139460,148160,146420
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"shared_load_transactions","Shared Load Transactions",278920,296320,292840
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_transactions","Global Load Transactions",580440,618622,588076
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_transactions","Global Store Transactions",15366,15741,15666
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_read_transactions","L2 Read Transactions",328314,364209,356914
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_write_transactions","L2 Write Transactions",15379,15754,15679
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"global_hit_rate","Global Hit Rate",37.319103%,46.990246%,39.253331%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_requested_throughput","Requested Global Load Throughput",198.627890GB/s,210.351859GB/s,205.871649GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_requested_throughput","Requested Global Store Throughput",8.658432GB/s,9.521509GB/s,9.068288GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gld_throughput","Global Load Throughput",249.472255GB/s,266.887290GB/s,258.756801GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"gst_throughput","Global Store Throughput",10.903390GB/s,11.704600GB/s,11.364929GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"tex_cache_hit_rate","Unified Cache Hit Rate",37.307413%,46.963784%,39.238687%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",25.606379%,29.534529%,28.719196%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",50.462059%,52.328315%,51.745823%
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"tex_cache_throughput","Unified Cache Throughput",206.482819GB/s,218.670423GB/s,214.016996GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",249.472255GB/s,266.887290GB/s,258.756801GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",10.903390GB/s,11.704600GB/s,11.364929GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_read_throughput","L2 Throughput (Reads)",249.764382GB/s,267.168977GB/s,258.951448GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"l2_write_throughput","L2 Throughput (Writes)",10.912395GB/s,11.714503GB/s,11.374243GB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"sysmem_write_throughput","System Memory Write Throughput",3.546494MB/s,3.900009MB/s,2.861023MB/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","dynproc_kernel(int, int*, int*, int*, int, int, int, int)",10,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
