==7059== NVPROF is profiling process 7059, command: ./dct8x8 0
==7059== Profiling application: ./dct8x8 0
==7059== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,GB/s,,,,
841.690486,2.693739,,,,,,,,,,1.000000,0.362530,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoA]"
844.389505,0.025570,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1169]"
844.433188,0.025153,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1176]"
844.473990,0.025121,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1183]"
844.514248,0.025089,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1190]"
844.554762,0.025153,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1197]"
844.594700,0.025025,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1204]"
844.634862,0.025249,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1211]"
844.674960,0.025025,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1218]"
844.715154,0.025025,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1225]"
844.754996,0.025121,64,64,1,8,8,1,19,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1DCT(float*, int, int, int) [1232]"
844.794550,0.009985,64,64,1,8,8,1,13,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernelQuantizationFloat(float*, int) [1239]"
844.810903,0.007552,,,,,,,,,,1.000000,129.311772,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoA]"
844.822456,0.026017,64,64,1,8,8,1,18,0.500000,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel1IDCT(float*, int, int, int) [1249]"
844.850585,2.494913,,,,,,,,,,1.000000,0.391421,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
852.621290,2.691339,,,,,,,,,,1.000000,0.362854,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
855.316149,0.004096,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel2DCT(float*, float*, int) [1262]"
855.335766,0.003392,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel2DCT(float*, float*, int) [1269]"
855.342198,0.003104,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel2DCT(float*, float*, int) [1275]"
855.347062,0.003104,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel2DCT(float*, float*, int) [1281]"
855.352151,0.003072,16,32,1,8,4,2,32,2.062500,0,,,"GeForce GTX 1080 Ti (0)","1","7","CUDAkernel2DCT(float*, float*, int) [1287]"
