==9526== NVPROF is profiling process 9526, command: ./quasirandomGenerator 0
==9526== Profiling application: ./quasirandomGenerator 0
==9526== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,B,MB,GB/s,,,,
0.603897,0.001056,,,,,,,,,,0.000355,0.328080,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.603918,0.079908,,,,,,,,,,12.000000,146.653026,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.604000,0.060259,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1165]"
0.604076,0.057923,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1172]"
0.604135,0.059043,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1178]"
0.604195,0.057507,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1184]"
0.604254,0.058979,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1190]"
0.604315,0.058371,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1196]"
0.604374,0.057955,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1202]"
0.604434,0.058915,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1208]"
0.604494,0.057507,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1214]"
0.604553,0.059011,128,1,1,128,3,1,40,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","quasirandomGeneratorKernel(float*, unsigned int, unsigned int) [1220]"
