==13656== NVPROF is profiling process 13656, command: ./mvt.exe 0
==13656== Profiling application: ./mvt.exe 0
==13656== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,GB/s,,,,
745.493923,172.185155,,,,,,,,,,64.000000,0.362981,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
917.729417,0.002016,,,,,,,,,,0.015625,7.568844,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
917.779084,0.001984,,,,,,,,,,0.015625,7.690922,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
917.828334,0.001984,,,,,,,,,,0.015625,7.690922,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
917.877905,0.003232,,,,,,,,,,0.015625,4.721160,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
917.885457,0.844907,16,1,1,256,1,1,22,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","mvt_kernel1(float*, float*, float*) [1172]"
918.731772,1.000627,16,1,1,256,1,1,18,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","mvt_kernel2(float*, float*, float*) [1177]"
919.754032,0.028545,,,,,,,,,,0.015625,0.534552,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
919.809555,0.029057,,,,,,,,,,0.015625,0.525133,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
