==27106== NVPROF is profiling process 27106, command: ./BFS -d 0
==27106== Profiling application: ./BFS -d 0
==27106== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,us,,,,,,,,B,B,KB,GB/s,,,,
612.886770,1.184000,,,,,,,,,,3.906250,3.146360,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
612.914323,1.216000,,,,,,,,,,3.910156,3.066625,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
612.943669,1.504000,,,,,,,,,,7.804688,4.948890,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
614.476549,1.120000,,,,,,,,,,0.003906,0.003326,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
614.507367,8.384000,1,1,1,1024,1,1,13,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*) [1191]"
614.528552,0.576000,,,,,,,,,,0.003906,0.006468,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
614.539273,0.992000,,,,,,,,,,0.003906,0.003755,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
614.555721,8.385000,1,1,1,1024,1,1,13,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*) [1208]"
614.575146,0.352000,,,,,,,,,,0.003906,0.010583,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
614.585099,0.864000,,,,,,,,,,0.003906,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
614.601004,9.376000,1,1,1,1024,1,1,13,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*) [1225]"
614.621389,0.352000,,,,,,,,,,0.003906,0.010583,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
614.631117,0.864000,,,,,,,,,,0.003906,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
614.646350,11.425000,1,1,1,1024,1,1,13,0,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*) [1242]"
614.668783,0.352000,,,,,,,,,,0.003906,0.010583,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
614.678960,0.864000,,,,,,,,,,0.003906,0.004312,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
