==30995== NVPROF is profiling process 30995, command: ./GEMM -d 0
==30995== Profiling application: ./GEMM -d 0
==30995== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,us,,,,,,,,KB,B,KB,MB/s,,,,
1.123753,1.088000,,,,,,,,,,0.109375,98.172356,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.128993,672.194000,,,,,,,,,,256.000000,371.916440,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.129675,671.874000,,,,,,,,,,256.000000,372.093576,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
1.130395,22.434000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2318]"
1.130438,18.017000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2349]"
1.130477,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2383]"
1.130516,18.080000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2417]"
1.130554,18.144000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2451]"
1.130586,615.455000,,,,,,,,,,256.000000,406.203540,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.131266,22.113000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2489]"
1.131307,17.153000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2520]"
1.131344,17.280000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2554]"
1.131381,17.249000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2588]"
1.131419,17.377000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2622]"
1.131449,615.359000,,,,,,,,,,256.000000,406.266911,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.132110,18.113000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2660]"
1.132146,17.985000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2691]"
1.132185,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2725]"
1.132223,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2759]"
1.132261,18.081000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [2793]"
1.132291,615.391000,,,,,,,,,,256.000000,406.245785,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.132955,17.505000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2831]"
1.132991,17.057000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2862]"
1.133028,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2896]"
1.133066,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2930]"
1.133103,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [2964]"
1.133133,615.391000,,,,,,,,,,256.000000,406.245785,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.133792,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3002]"
1.133828,18.113000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3033]"
1.133867,18.113000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3067]"
1.133905,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3101]"
1.133943,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3135]"
1.133974,615.391000,,,,,,,,,,256.000000,406.245785,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.134634,17.537000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3173]"
1.134670,17.153000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3204]"
1.134707,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3238]"
1.134746,17.313000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3272]"
1.134783,17.217000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3306]"
1.134814,615.392000,,,,,,,,,,256.000000,406.245125,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.135474,18.081000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3344]"
1.135510,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3375]"
1.135548,18.113000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3409]"
1.135587,18.080000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3443]"
1.135625,18.080000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3477]"
1.135655,615.455000,,,,,,,,,,256.000000,406.203540,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.136314,17.569000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3515]"
1.136350,17.153000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3546]"
1.136387,17.377000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3580]"
1.136425,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3614]"
1.136462,17.345000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3648]"
1.136491,615.392000,,,,,,,,,,256.000000,406.245125,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.137168,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3686]"
1.137212,18.017000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3717]"
1.137259,18.081000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3751]"
1.137306,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3785]"
1.137353,18.081000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [3819]"
1.137388,615.455000,,,,,,,,,,256.000000,406.203540,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.138052,17.568000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3857]"
1.138089,17.089000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3888]"
1.138126,17.249000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3922]"
1.138164,17.249000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3956]"
1.138201,17.345000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [3990]"
1.138231,615.423000,,,,,,,,,,256.000000,406.224661,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.138891,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [4028]"
1.138927,17.985000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [4059]"
1.138965,18.145000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [4093]"
1.139004,18.049000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [4127]"
1.139042,18.081000,2,4,1,128,1,1,120,12.250000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nn [4161]"
1.139072,615.391000,,,,,,,,,,256.000000,406.245785,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
1.139731,17.569000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [4199]"
1.139766,17.089000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [4230]"
1.139803,17.249000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [4264]"
1.139841,17.217000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [4298]"
1.139878,17.281000,2,4,1,128,1,1,120,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","maxwell_sgemm_128x64_raggedMn_nt [4332]"
