==30758== NVPROF is profiling process 30758, command: ./Reduction -d 0
==30758== Profiling application: ./Reduction -d 0
==30758== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,KB,MB,GB/s,,,,
576.253749,2.687917,,,,,,,,,,1.000000,0.363316,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
578.981412,0.003648,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1177]"
578.988708,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1182]"
578.993796,0.003232,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1187]"
578.998661,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1192]"
579.003301,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1197]"
579.007845,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1202]"
579.012421,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1207]"
579.016966,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1212]"
579.021510,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1217]"
579.026086,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1222]"
579.030630,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1227]"
579.037159,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1232]"
579.041703,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1237]"
579.046247,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1242]"
579.052231,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1247]"
579.056808,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1252]"
579.061352,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1257]"
579.065896,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1262]"
579.070440,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1267]"
579.075017,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1272]"
579.079561,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1277]"
579.084105,0.003104,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1282]"
579.088617,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1287]"
579.093162,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1292]"
579.097738,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1297]"
579.102282,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1302]"
579.106826,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1307]"
579.111370,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1312]"
579.115947,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1317]"
579.120491,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1322]"
579.125067,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1327]"
579.129611,0.003137,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1332]"
579.134156,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1337]"
579.138700,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1342]"
579.143244,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1347]"
579.147820,0.003137,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1352]"
579.152365,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1357]"
579.156877,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1362]"
579.161421,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1367]"
579.165965,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1372]"
579.170574,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1377]"
579.176782,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1382]"
579.181294,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1387]"
579.187470,0.003201,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1392]"
579.192111,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1397]"
579.198799,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1402]"
579.203375,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1407]"
579.211696,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1412]"
579.216272,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1417]"
579.220816,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1422]"
579.231473,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1427]"
579.236017,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1432]"
579.240849,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1437]"
579.245393,0.003137,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1442]"
579.260530,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1447]"
579.265074,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1452]"
579.269651,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1457]"
579.274195,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1462]"
579.278739,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1467]"
579.283315,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1472]"
579.302932,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1477]"
579.307509,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1482]"
579.312117,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1487]"
579.316661,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1492]"
579.321237,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1497]"
579.325782,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1502]"
579.330326,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1507]"
579.334870,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1512]"
579.363992,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1517]"
579.368536,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1522]"
579.373112,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1527]"
579.377656,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1532]"
579.382233,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1537]"
579.386777,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1542]"
579.391417,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1547]"
579.395929,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1552]"
579.400506,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1557]"
579.405050,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1562]"
579.409562,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1567]"
579.414106,0.003136,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1572]"
579.454908,0.003169,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1577]"
579.459645,0.003200,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1582]"
579.464253,0.003168,64,1,1,256,1,1,11,0,1.000000,,,"GeForce GTX 1080 Ti (0)","1","7","void reduce<float, int=256>(float const *, float*, unsigned int) [1587]"
