==14272== NVPROF is profiling process 14272, command: ./Sort -d 0
==14272== Profiling application: ./Sort -d 0
==14272== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,KB,MB,MB/s,,,,
634.351631,2.687467,,,,,,,,,,1.000000,372.097591,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
637.051163,2.682731,,,,,,,,,,1.000000,372.754480,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
639.771016,0.018241,512,1,1,128,1,1,27,2.015625,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","radixSortBlocks(unsigned int, unsigned int, uint4*, uint4*, uint4*, uint4*) [1186]"
639.790857,0.004704,512,1,1,256,1,1,11,0.062500,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1194]"
639.797161,0.002400,8,1,1,256,1,1,15,2.000000,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool) [1202]"
639.800873,0.002017,1,1,1,256,1,1,15,2.000000,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","scan(unsigned int*, unsigned int*, unsigned int*, int, bool, bool) [1210]"
639.805066,0.001984,8,1,1,256,1,1,8,0.015625,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","vectorAddUniform4(unsigned int*, unsigned int const *, int) [1215]"
639.809002,0.008672,512,1,1,256,1,1,15,4.125000,0.000000,,,"GeForce GTX 1080 Ti (0)","1","7","reorderData(unsigned int, unsigned int*, unsigned int*, uint2*, uint2*, unsigned int*, unsigned int*, unsigned int*, unsigned int) [1226]"
639.819018,0.018497,512,1,1,128,1,1,27,2.015625,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","radixSortBlocks(unsigned int, unsigned int, uint4*, uint4*, uint4*, uint4*) [1234]"
639.839083,0.004097,512,1,1,256,1,1,11,0.062500,2.000000,,,"GeForce GTX 1080 Ti (0)","1","7","findRadixOffsets(uint2*, unsigned int*, unsigned int*, unsigned int, unsigned int, unsigned int) [1242]"
