==23348== NVPROF is profiling process 23348, command: ./bh 30000 50 0
==23348== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23348== Profiling application: ./bh 30000 50 0
==23348== Profiling result:
==23348== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"inst_per_warp","Instructions per warp",98.335938,98.335938,98.335938
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"branch_efficiency","Branch Efficiency",99.989239%,99.989239%,99.989239%
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"warp_execution_efficiency","Warp Execution Efficiency",99.996311%,99.996311%,99.996311%
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.962467%,97.962467%,97.962467%
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"inst_replay_overhead","Instruction Replay Overhead",0.030508,0.030508,0.030508
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"gld_transactions_per_request","Global Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"gst_transactions_per_request","Global Store Transactions Per Request",3.999867,3.999867,3.999867
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"gld_transactions","Global Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"gst_transactions","Global Store Transactions",29999,29999,29999
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","ClearKernel1(int, int, int volatile *)",150,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
