==26093== NVPROF is profiling process 26093, command: ./3DConvolution.exe 0
==26093== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26093== Profiling application: ./3DConvolution.exe 0
==26093== Profiling result:
==26093== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"inst_per_warp","Instructions per warp",65.632812,65.632812,65.632812
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"warp_execution_efficiency","Warp Execution Efficiency",99.444821%,99.445007%,99.444918%
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.944999%,97.944999%,97.944999%
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"inst_replay_overhead","Instruction Replay Overhead",0.032429,0.039899,0.035928
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"gld_transactions_per_request","Global Load Transactions Per Request",9.363636,9.363636,9.363636
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"gld_transactions","Global Load Transactions",209296,209296,209296
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"gst_transactions","Global Store Transactions",8128,8128,8128
"GeForce GTX 1080 Ti (0)","convolution3D_kernel(float*, float*, int)",254,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
