==671== NVPROF is profiling process 671, command: ./correlation.exe 0
==671== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==671== Profiling application: ./correlation.exe 0
==671== Profiling result:
==671== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_per_warp","Instructions per warp",11974.000000,11974.000000,11974.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.974946%,99.974946%,99.974946%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000292,0.000292,0.000292
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.750000,9.750000,9.750000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",5.000000,5.000000,5.000000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gld_transactions","Global Load Transactions",2555904,2555904,2555904
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gst_transactions","Global Store Transactions",656000,656000,656000
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_read_transactions","L2 Read Transactions",1294480,1294480,1294480
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_write_transactions","L2 Write Transactions",656013,656013,656013
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"global_hit_rate","Global Hit Rate",49.358974%,49.358974%,49.358974%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",60.762792GB/s,60.762792GB/s,60.762279GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",30.411065GB/s,30.411065GB/s,30.410476GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gld_throughput","Global Load Throughput",75.004071GB/s,75.004071GB/s,75.004064GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gst_throughput","Global Store Throughput",38.013832GB/s,38.013832GB/s,38.013794GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",49.576411%,49.576411%,49.576411%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",59.453959%,59.453959%,59.453959%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",99.974543%,99.974543%,99.974543%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"tex_cache_throughput","Unified Cache Throughput",60.762792GB/s,60.762792GB/s,60.762279GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",75.004071GB/s,75.004071GB/s,75.004064GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",38.013832GB/s,38.013832GB/s,38.013794GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_read_throughput","L2 Throughput (Reads)",75.012416GB/s,75.012416GB/s,75.011514GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"l2_write_throughput","L2 Throughput (Writes)",38.014585GB/s,38.014585GB/s,38.013794GB/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"sysmem_write_throughput","System Memory Write Throughput",303.813477KB/s,303.813477KB/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gld_efficiency","Global Memory Load Efficiency",81.012658%,81.012658%,81.012658%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"gst_efficiency","Global Memory Store Efficiency",80.000000%,80.000000%,80.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"tex_cache_transactions","Unified Cache Transactions",1048576,1048576,1048576
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_sp","Floating Point Operations(Single Precision)",12627968,12627968,12627968
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",4198400,4198400,4198400
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",4212736,4212736,4212736
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",4096,4096,4096
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",2048,2048,2048
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_executed","Instructions Executed",766336,766336,766336
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_issued","Instructions Issued",766560,766560,766560
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.702706%,0.702706%,0.702706%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",2.224661%,2.224661%,2.224661%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",96.108583%,96.108583%,96.108583%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_other","Issue Stall Reasons (Other)",0.851590%,0.851590%,0.851590%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.064198%,0.064198%,0.064198%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.026500%,0.026500%,0.026500%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_fp_32","FP Instructions(Single)",8421376,8421376,8421376
"GeForce GTX 1080 Ti (0)","std_kernel(float*, float*, float*)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
