==2353== NVPROF is profiling process 2353, command: ./covariance.exe 0
==2353== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2353== Profiling application: ./covariance.exe 0
==2353== Profiling result:
==2353== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"inst_per_warp","Instructions per warp",32.000000,32.000000,32.000000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",96.875000%,96.875000%,96.875000%
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.002475,0.002475,0.002475
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",9.750000,9.750000,9.750000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.875000,4.875000,4.875000
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"gld_transactions","Global Load Transactions",638976,638976,638976
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"gst_transactions","Global Store Transactions",159744,159744,159744
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"l2_read_transactions","L2 Read Transactions",323680,323680,323680
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"l2_write_transactions","L2 Write Transactions",159757,159757,159757
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"global_hit_rate","Global Hit Rate",49.358974%,49.358974%,49.358974%
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","reduce_kernel(float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",283.123143GB/s,283.123143GB/s,283.122994GB/s
