==15788== NVPROF is profiling process 15788, command: ./syrk.exe 0
==15788== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15788== Profiling application: ./syrk.exe 0
==15788== Profiling result:
==15788== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"inst_per_warp","Instructions per warp",5681.000000,5681.000000,5681.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.964795%,99.964795%,99.964795%
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000019,0.000019,0.000019
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",17.995120,17.995120,17.995120
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gld_transactions","Global Load Transactions",1208221696,1208221696,1208221696
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gst_transactions","Global Store Transactions",134348800,134348800,134348800
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"l2_read_transactions","L2 Read Transactions",1107429536,1107429536,1107429536
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"l2_write_transactions","L2 Write Transactions",134348813,134348813,134348813
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"global_hit_rate","Global Hit Rate",8.342374%,8.342374%,8.342374%
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gld_requested_throughput","Requested Global Load Throughput",142.296985GB/s,142.296985GB/s,142.296776GB/s
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gst_requested_throughput","Requested Global Store Throughput",137.989035GB/s,137.989035GB/s,137.988478GB/s
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gld_throughput","Global Load Throughput",1137.433516GB/s,1137.433516GB/s,1137.432642GB/s
"GeForce GTX 1080 Ti (0)","syrk_kernel(float, float, float*, float*)",1,"gst_throughput","Global Store Throughput",137.989035GB/s,137.989035GB/s,137.988478GB/s
