==20624== NVPROF is profiling process 20624, command: ./backprop 65536 0
==20624== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==20624== Profiling application: ./backprop 65536 0
==20624== Profiling result:
==20624== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"inst_per_warp","Instructions per warp",267.750000,267.750000,267.750000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",92.647059%,92.647059%,92.647059%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.706816%,83.706816%,83.706816%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000408,0.000408,0.000408
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.750000,5.750000,5.750000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",3.000000,3.000000,3.000000
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_store_transactions","Shared Store Transactions",159744,159744,159744
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_load_transactions","Shared Load Transactions",221184,221184,221184
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_transactions","Global Load Transactions",376832,376832,376832
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_transactions","Global Store Transactions",196608,196608,196608
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_read_transactions","L2 Read Transactions",205264,205264,205264
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_write_transactions","L2 Write Transactions",196621,196621,196621
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"global_hit_rate","Global Hit Rate",45.652174%,45.652174%,45.652174%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",65.014421GB/s,65.014421GB/s,65.013766GB/s
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_requested_throughput","Requested Global Store Throughput",65.014421GB/s,65.014421GB/s,65.013766GB/s
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_throughput","Global Load Throughput",95.609443GB/s,95.609443GB/s,95.608644GB/s
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_throughput","Global Store Throughput",91.785065GB/s,91.785065GB/s,91.784634GB/s
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",46.739130%,46.739130%,46.739130%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",30.336914%,30.336914%,30.336914%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",98.958333%,98.958333%,98.958333%
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"tex_cache_throughput","Unified Cache Throughput",91.785065GB/s,91.785065GB/s,91.784634GB/s
"GeForce GTX 1080 Ti (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",95.609443GB/s,95.609443GB/s,95.608644GB/s
