==28977== NVPROF is profiling process 28977, command: ./Reduction -d 0
==28977== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28977== Profiling application: ./Reduction -d 0
==28977== Profiling result:
==28977== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"inst_per_warp","Instructions per warp",143.875000,143.875000,143.875000
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"warp_execution_efficiency","Warp Execution Efficiency",99.495004%,99.495004%,99.495004%
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.537359%,94.541177%,94.540055%
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"inst_replay_overhead","Instruction Replay Overhead",0.023376,0.025005,0.023959
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.816514,0.816514,0.816514
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.893617,0.893617,0.893617
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_transactions_per_request","Global Load Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_store_transactions","Shared Store Transactions",5376,5376,5376
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"shared_load_transactions","Shared Load Transactions",5696,5696,5696
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_transactions","Global Load Transactions",65536,65536,65536
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gst_transactions","Global Store Transactions",64,64,64
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"l2_read_transactions","L2 Read Transactions",32864,33543,33015
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"l2_write_transactions","L2 Write Transactions",77,93,77
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"global_hit_rate","Global Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_requested_throughput","Requested Global Load Throughput",70.418409GB/s,275.088028GB/s,265.949406GB/s
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gst_requested_throughput","Requested Global Store Throughput",17.604602MB/s,68.772007MB/s,65.803528MB/s
"GeForce GTX 1080 Ti (0)","void reduce<float, int=256>(float const *, float*, unsigned int)",2560,"gld_throughput","Global Load Throughput",140.836819GB/s,550.176056GB/s,531.898811GB/s
