==19359== NVPROF is profiling process 19359, command: ./matrixMul 0
==19359== Profiling application: ./matrixMul 0
==19359== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,KB,MB/s,,,,
645.554898,1.050488,,,,,,,,,,400.000000,371.850986,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
646.691471,2.102480,,,,,,,,,,800.000000,371.584985,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
648.798335,0.098309,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1170]"
648.916581,0.095366,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1181]"
649.013323,0.095077,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1188]"
649.109808,0.095493,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1195]"
649.206677,0.096005,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1202]"
649.304122,0.096421,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1209]"
649.401951,0.096101,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1216]"
649.499460,0.095974,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1223]"
649.596842,0.095685,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1230]"
649.693967,0.096037,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1237]"
649.791572,0.097029,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1244]"
649.889977,0.096037,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1251]"
649.987454,0.095238,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1258]"
650.084100,0.095269,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1265]"
650.180777,0.095205,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1272]"
650.277390,0.096037,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1279]"
650.374835,0.096037,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1286]"
650.472248,0.095429,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1293]"
650.569053,0.095398,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1300]"
650.665859,0.096133,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1307]"
650.763368,0.096165,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1314]"
650.861133,0.096197,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1321]"
650.958962,0.096421,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1328]"
651.056983,0.095718,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1335]"
651.154301,0.095365,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1342]"
651.251298,0.095813,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1349]"
651.348679,0.096261,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1356]"
651.446508,0.095941,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1363]"
651.544081,0.095525,20,10,1,32,32,1,27,8.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [1370]"
