==14686== NVPROF is profiling process 14686, command: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat -d 0
==14686== Profiling application: ./bfs -i ../../datasets/bfs/NY/input/graph_input.dat -o out.dat -d 0
==14686== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,MB/s,,,,
728.902045,5.564018,,,,,,,,,,2.067001,371.494366,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
734.559219,15.222318,,,,,,,,,,5.649002,371.099991,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
750.505221,2.779529,,,,,,,,,,1.033501,371.825828,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
753.376242,2.783689,,,,,,,,,,1.033501,371.270164,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.176476,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.185916,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.193629,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.232191,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.243487,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.249536,0.000672,,,,,,,,,,0.000004,5.676632,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
756.263104,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
756.323395,0.944943,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1198]"
757.270354,0.000672,,,,,,,,,,0.000004,5.676632,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.282834,0.000928,,,,,,,,,,0.000004,4.110664,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.293875,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.300819,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.319956,0.020161,14,1,1,512,1,1,22,12.605469,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*) [1218]"
757.342197,0.000448,,,,,,,,,,0.000004,8.514949,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.351318,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.360566,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.370967,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.385111,0.012481,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1235]"
757.399736,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.408473,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.419289,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.426457,0.000865,,,,,,,,,,0.000004,4.410054,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.441466,0.220331,14,1,1,512,1,1,22,12.605469,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*) [1255]"
757.663813,0.000384,,,,,,,,,,0.000004,9.934107,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.673030,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.682150,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.692551,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.706087,0.116710,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1272]"
757.824845,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.833998,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
757.844718,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.851662,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
757.865999,1.343138,14,1,1,512,1,1,22,12.605469,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*) [1292]"
759.211185,0.000448,,,,,,,,,,0.000004,8.514949,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.221010,0.001056,,,,,,,,,,0.000004,3.612402,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.230162,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.240851,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.255348,0.275053,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1309]"
759.532449,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.541570,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.551906,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.558562,0.000897,,,,,,,,,,0.000004,4.252728,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.573091,0.050211,14,1,1,512,1,1,22,12.605469,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*) [1329]"
759.625414,0.000320,,,,,,,,,,0.000004,11.920929,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.635078,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.644263,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.655015,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.668520,0.006944,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1346]"
759.677512,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.686313,0.000992,,,,,,,,,,0.000004,3.845461,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.697033,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.703978,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.718250,0.035266,14,1,1,512,1,1,22,12.605469,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_kernel_multi_blk_inGPU(int*, int*, int2*, int2*, int*, int*, int*, int*, int, int, int*, int*, int*, int*) [1366]"
759.755564,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.764269,0.000992,,,,,,,,,,0.000004,3.845461,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.773581,0.000960,,,,,,,,,,0.000004,3.973642,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
759.784334,0.000864,,,,,,,,,,0.000004,4.415158,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
759.799054,0.409909,1,1,1,512,1,1,21,14.597656,0,,,"GeForce GTX 1080 Ti (0)","1","7","BFS_in_GPU_kernel(int*, int*, int2*, int2*, int*, int*, int, int*, int, int, int*) [1383]"
760.211011,0.000352,,,,,,,,,,0.000004,10.837208,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
760.220003,0.000928,,,,,,,,,,0.000004,4.110664,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
760.230724,0.000896,,,,,,,,,,0.000004,4.257474,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
760.257445,2.580895,,,,,,,,,,1.033501,400.442741,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
762.861413,2.582783,,,,,,,,,,1.033501,400.150021,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
