==21438== NVPROF is profiling process 21438, command: ./dwt2d rgb.bmp -d 1024x1024 -f -5 -l 3 -D 0
==21438== Profiling application: ./dwt2d rgb.bmp -d 1024x1024 -f -5 -l 3 -D 0
==21438== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,KB,B,MB,GB/s,,,,
644.757658,0.023906,,,,,,,,,,4.000000,163.400402,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
645.168143,0.023201,,,,,,,,,,4.000000,168.365588,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
645.577764,0.023265,,,,,,,,,,4.000000,167.902429,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
645.977560,0.023297,,,,,,,,,,4.000000,167.671803,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
646.373996,0.023233,,,,,,,,,,4.000000,168.133689,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
646.769952,0.023265,,,,,,,,,,4.000000,167.902429,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
647.168052,0.023201,,,,,,,,,,4.000000,168.365588,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
647.585129,0.017825,,,,,,,,,,3.000000,164.358345,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
647.604874,8.065720,,,,,,,,,,3.000000,0.363227,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
655.697571,0.041442,4096,1,1,256,1,1,13,0.750000,0,,,"GeForce GTX 1080 Ti (0)","1","7","void c_CopySrcToComponents<int>(int*, int*, int*, unsigned char*, int) [1204]"
656.280481,0.025121,,,,,,,,,,4.000000,155.497393,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.334051,0.052323,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","13","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1220]"
656.345828,0.047394,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","14","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1227]"
656.395046,0.006241,,,,,,,,,,1.000000,156.475324,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.402759,0.012672,4,13,1,128,1,1,50,5.773438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int) [1237]"
656.416872,0.001728,,,,,,,,,,0.250000,141.285084,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.427624,0.009281,4,11,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1247]"
656.447817,0.024161,,,,,,,,,,4.000000,161.675841,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.475946,0.034274,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","20","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1271]"
656.479339,0.031041,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","19","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1264]"
656.512780,0.006177,,,,,,,,,,1.000000,158.096568,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.520429,0.012896,4,13,1,128,1,1,50,5.773438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int) [1281]"
656.534893,0.001729,,,,,,,,,,0.250000,141.203369,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.538670,0.009472,4,11,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1291]"
656.549486,0.023905,,,,,,,,,,4.000000,163.407237,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.580528,0.035970,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","25","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1308]"
656.583952,0.032418,16,15,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","26","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1315]"
656.618994,0.006176,,,,,,,,,,1.000000,158.122166,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.626674,0.012641,4,13,1,128,1,1,50,5.773438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=128, int=8>(int const *, int*, int, int, int) [1325]"
656.640755,0.001760,,,,,,,,,,0.250000,138.716264,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoD]"
656.643955,0.009568,4,11,1,64,1,1,50,3.023438,0,,,"GeForce GTX 1080 Ti (0)","1","7","void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int, int) [1335]"
657.989591,9.981880,,,,,,,,,,4.000000,0.391334,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
686.223818,10.013498,,,,,,,,,,4.000000,0.390098,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
713.741752,9.952759,,,,,,,,,,4.000000,0.392479,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
