==16062== NVPROF is profiling process 16062, command: ./hybridsort r 0
==16062== Profiling application: ./hybridsort r 0
==16062== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
0.726583,43.057610,,,,,,,,,,16.000000,0.362886,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.769387,0.000556,,,,,,,,,,0.003906,6.860966,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.769391,0.000201,,,,,,,,,,0.003906,18.978593,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.769665,0.364434,64,1,1,96,1,1,16,12.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","histogram1024Kernel(unsigned int*, float*, float, float, int) [1175]"
0.770032,0.000864,,,,,,,,,,0.003906,4.415159,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.770065,0.000249,,,,,,,,,,0.003906,15.320069,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.770077,0.001248,,,,,,,,,,0.003906,3.056648,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.770103,0.570429,1024,1,1,32,1,1,13,4.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bucketcount(float*, int*, unsigned int*, int) [1185]"
0.770675,0.199114,8,1,1,128,1,1,14,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bucketprefixoffset(unsigned int*, unsigned int*, int) [1190]"
0.770876,0.000832,,,,,,,,,,0.003906,4.584973,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.770926,0.003008,,,,,,,,,,0.003906,1.268184,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.770931,0.105381,,,,,,,,,,16.015625,148.416306,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.771038,2.012807,1024,1,1,32,1,1,12,4.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","bucketsort(float*, int*, float*, int, unsigned int*, unsigned int*) [1201]"
0.773055,0.093732,4098,1,1,256,1,1,10,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortFirst(float4*, int) [1207]"
0.773164,0.001280,,,,,,,,,,0.003910,2.983143,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.773181,0.001248,,,,,,,,,,0.003910,3.059633,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.773198,0.001248,,,,,,,,,,0.003906,3.056648,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.773209,0.098149,2585,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1216]"
0.773320,0.324625,1295,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1222]"
0.773646,0.600862,650,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1228]"
0.774249,0.834219,325,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1234]"
0.775084,1.025140,163,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1240]"
0.776111,1.394119,84,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1246]"
0.777506,0.552508,45,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1252]"
0.778060,0.320976,25,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1258]"
0.778383,0.389012,15,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1264]"
0.778781,0.615871,10,1,1,208,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1270]"
0.779399,0.720676,8,1,1,128,1,1,31,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergeSortPass(float4*, int, int) [1276]"
0.780121,0.103301,17,1024,1,256,1,1,8,0.000000,0,,,"GeForce GTX 1080 Ti (0)","1","7","mergepack(float*, float*) [1280]"
0.780237,40.220795,,,,,,,,,,16.000000,0.388481,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy DtoH]"
0.824877,43.054826,,,,,,,,,,16.000000,0.362909,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memcpy HtoD]"
0.867721,0.000648,,,,,,,,,,0.003906,5.886878,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
0.867725,0.000203,,,,,,,,,,0.003906,18.791612,"GeForce GTX 1080 Ti (0)","1","7","[CUDA memset]"
