==21895== NVPROF is profiling process 21895, command: ./sortingNetworks
==21895== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21895== Profiling application: ./sortingNetworks
==21895== Profiling result:
==21895== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"sm_efficiency","Multiprocessor Activity",99.397551%,99.610916%,99.523147%
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"achieved_occupancy","Achieved Occupancy",0.985947,0.991176,0.988883
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"ipc","Executed IPC",1.660075,1.777317,1.714294
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"issued_ipc","Issued IPC",1.660253,1.777771,1.714844
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"inst_per_warp","Instructions per warp",593.000000,1419.644226,985.318433
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"warp_execution_efficiency","Warp Execution Efficiency",87.498416%,88.229117%,87.769938%
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",83.474682%,84.741929%,83.998910%
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"inst_replay_overhead","Instruction Replay Overhead",0.000033,0.000079,0.000052
"GeForce GTX 950 (0)","bitonicSortShared(unsigned int*, unsigned int*, unsigned int*, unsigned int*, unsigned int, unsigned int)",5,"issue_slot_utilization","Issue Slot Utilization",37.866924%,40.562378%,39.128314%
