==19491== NVPROF is profiling process 19491, command: ./cuSolverSp_LowlevelQR
==19491== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19491== Profiling application: ./cuSolverSp_LowlevelQR
==19491== Profiling result:
==19491== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"sm_efficiency","Multiprocessor Activity",87.293650%,87.632221%,87.462935%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"achieved_occupancy","Achieved Occupancy",0.829639,0.832703,0.831171
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"ipc","Executed IPC",0.928610,1.068385,0.998498
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"issued_ipc","Issued IPC",0.896201,1.085165,0.990683
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_per_warp","Instructions per warp",129.888179,129.888179,129.888179
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"branch_efficiency","Branch Efficiency",99.968015%,99.968015%,99.968015%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_execution_efficiency","Warp Execution Efficiency",85.679767%,85.679921%,85.679844%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",68.201636%,68.201713%,68.201674%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"inst_replay_overhead","Instruction Replay Overhead",0.004108,0.004643,0.004375
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"issue_slot_utilization","Issue Slot Utilization",20.690478%,25.052813%,22.871645%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.666667,1.666667,1.666667
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.500000,1.500000,1.500000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions_per_request","Global Load Transactions Per Request",5.098682,5.098682,5.098682
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_transactions","Shared Store Transactions",3750,3750,3750
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_transactions","Shared Load Transactions",12500,12500,12500
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_transactions","Global Load Transactions",51048,51048,51048
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_transactions","Global Store Transactions",2500,2500,2500
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_read_transactions","Device Memory Read Transactions",18193,22319,20256
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_write_transactions","Device Memory Write Transactions",8121,8695,8408
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"global_hit_rate","Global Hit Rate",24.621924%,24.621924%,24.621924%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_requested_throughput","Requested Global Load Throughput",29.033786GB/s,30.009329GB/s,29.512681GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_requested_throughput","Requested Global Store Throughput",3.225080GB/s,3.333444GB/s,3.277324GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_throughput","Global Load Throughput",49.639147GB/s,51.307036GB/s,50.458126GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_throughput","Global Store Throughput",3.225080GB/s,3.333444GB/s,3.277324GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_read_throughput","Device Memory Read Throughput",23.469555GB/s,29.759654GB/s,26.562251GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"dram_write_throughput","Device Memory Write Throughput",10.476351GB/s,11.593718GB/s,11.024997GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"tex_cache_throughput","Unified Cache Throughput",83.735986GB/s,86.549539GB/s,85.118227GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_load_throughput","Shared Memory Load Throughput",64.501607GB/s,66.668879GB/s,65.566972GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"shared_store_throughput","Shared Memory Store Throughput",19.350482GB/s,20.000664GB/s,19.669533GB/s
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gld_efficiency","Global Memory Load Efficiency",58.489696%,58.489696%,58.489696%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"tex_cache_transactions","Unified Cache Transactions",64910,64910,64910
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void csrMv_kernel<double, double, double, int=128, int=1, int=2>(cusparseCsrMvParams<double, double, double>)",2,"tex_fu_utilization","Texture Function Unit Utilization","Low (2)","Low (2)","Low (2)"
