==10077== NVPROF is profiling process 10077, command: ./cannyEdgeDetectorNPP
==10077== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10077== Profiling application: ./cannyEdgeDetectorNPP
==10077== Profiling result:
==10077== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"sm_efficiency","Multiprocessor Activity",95.728802%,95.728802%,95.728802%
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"achieved_occupancy","Achieved Occupancy",0.889135,0.889135,0.889135
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"ipc","Executed IPC",3.560785,3.560785,3.560785
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"issued_ipc","Issued IPC",3.599386,3.599386,3.599386
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"inst_per_warp","Instructions per warp",445.034668,445.034668,445.034668
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"branch_efficiency","Branch Efficiency",96.204119%,96.204119%,96.204119%
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"warp_execution_efficiency","Warp Execution Efficiency",89.913338%,89.913338%,89.913338%
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",81.901877%,81.901877%,81.901877%
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000830,0.000830,0.000830
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"issue_slot_utilization","Issue Slot Utilization",78.966536%,78.966536%,78.966536%
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 950 (0)","void ForEachPixelNaiveBy2<short, int=1, GradientVectorSobel3x3_C1R_By2_ReplicateBorderFunctor<unsigned char, short>>(Image<short, int=1>, NppiSize, unsigned char)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
