==7678== NVPROF is profiling process 7678, command: ./cuSolverDn_LinearSolver
==7678== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7678== Profiling application: ./cuSolverDn_LinearSolver
==7678== Profiling result:
==7678== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"sm_efficiency","Multiprocessor Activity",82.331598%,82.331598%,82.331598%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"achieved_occupancy","Achieved Occupancy",0.203686,0.203686,0.203686
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"ipc","Executed IPC",0.212349,0.212349,0.212349
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"issued_ipc","Issued IPC",0.204549,0.204549,0.204549
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"inst_per_warp","Instructions per warp",2080.525862,2080.525862,2080.525862
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"warp_execution_efficiency","Warp Execution Efficiency",75.585178%,75.585178%,75.585178%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",64.930720%,64.930720%,64.930720%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"inst_replay_overhead","Instruction Replay Overhead",0.001084,0.001084,0.001084
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"issue_slot_utilization","Issue Slot Utilization",4.744681%,4.744681%,4.744681%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.054269,1.054269,1.054269
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.475571,1.475571,1.475571
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",16.000000,16.000000,16.000000
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",8.000000,8.000000,8.000000
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",4.980717,4.980717,4.980717
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.751724,1.751724,1.751724
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_store_transactions","Shared Store Transactions",6463,6463,6463
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"shared_load_transactions","Shared Load Transactions",16843,16843,16843
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_load_transactions","Local Load Transactions",3584,3584,3584
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_store_transactions","Local Store Transactions",1792,1792,1792
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_transactions","Global Load Transactions",119851,119851,119851
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_transactions","Global Store Transactions",254,254,254
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"dram_read_transactions","Device Memory Read Transactions",110006,110006,110006
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"dram_write_transactions","Device Memory Write Transactions",18021,18021,18021
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"global_hit_rate","Global Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_hit_rate","Local Hit Rate",50.000000%,50.000000%,50.000000%
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_requested_throughput","Requested Global Load Throughput",20.761006GB/s,20.761006GB/s,20.760112GB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_requested_throughput","Requested Global Store Throughput",43.726185MB/s,43.726185MB/s,42.915344MB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gld_throughput","Global Load Throughput",22.398389GB/s,22.398389GB/s,22.398308GB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"gst_throughput","Global Store Throughput",48.579337MB/s,48.579337MB/s,47.683716MB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"dram_read_throughput","Device Memory Read Throughput",20.546331GB/s,20.546331GB/s,20.545907GB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"dram_write_throughput","Device Memory Write Throughput",3.365866GB/s,3.365866GB/s,3.365800GB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"tex_cache_throughput","Unified Cache Throughput",23.074326GB/s,23.074326GB/s,23.073517GB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_load_throughput","Local Memory Load Throughput",685.465928MB/s,685.465928MB/s,684.738159MB/s
"GeForce GTX 950 (0)","void trsv_ln_exec<double, unsigned int=32, unsigned int=32, unsigned int=4, bool=0>(int, double const *, int, double*, int, int*)",1,"local_store_throughput","Local Memory Store Throughput",342.732964MB/s,342.732964MB/s,342.369080MB/s
